"GroupKind","GroupID","Count","Example","Action"
"Same Source","SRC_page10_img6__dup","2","page10_img6__DUP__5104A7665C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page11_img4__dup","2","page11_img4__DUP__ED14F64E1C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page12_img4__dup","2","page12_img4__DUP__46AD457688.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page12_img5__dup","2","page12_img5__DUP__22038918BF.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img1","5","page2_img1__1F1A1D7346.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img1__dup","6","page2_img1__DUP__197BF7E34F.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img2","3","page2_img2__16D4F787F9.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img2__dup","13","page2_img2__DUP__1F943BD010.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img3__dup","9","page2_img3__DUP__0DF67E18A5.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img4__dup","3","page2_img4__DUP__2EA74B528A.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img5__dup","3","page2_img5__DUP__2DDC74F6BD.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page2_img6__dup","2","page2_img6__DUP__3BD2F849AB.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page21_img2__dup","2","page21_img2__DUP__1345BFCA0D.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page25_img2__dup","2","page25_img2__DUP__D66E44614C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page25_img3__dup","2","page25_img3__DUP__3153144345.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page25_img4__dup","2","page25_img4__DUP__447E4C089A.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page3_img1__dup","5","page3_img1__DUP__3045F759D5.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page3_img2__dup","8","page3_img2__DUP__2A9CFEB70F.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page3_img3__dup","3","page3_img3__DUP__1419BFED8B.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page3_img4__dup","5","page3_img4__DUP__0CCADA1B44.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page3_img5__dup","4","page3_img5__DUP__10F24168C4.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page3_img6__dup","3","page3_img6__DUP__188E157DBA.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page3_img7__dup","2","page3_img7__DUP__6469D13D26.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page4_img1__dup","4","page4_img1__DUP__1BC2C67F1C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page4_img2__dup","5","page4_img2__DUP__1E0CE3CC93.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page4_img3__dup","3","page4_img3__DUP__2F566EDF73.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page4_img4__dup","5","page4_img4__DUP__080076F2E1.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page4_img5__dup","2","page4_img5__DUP__2C8D3D59BC.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page5_img1__dup","6","page5_img1__DUP__1657632998.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page5_img2__dup","10","page5_img2__DUP__025AB5AA2A.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page5_img3__dup","5","page5_img3__DUP__09DFC88A5E.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page5_img4__dup","7","page5_img4__DUP__139D371A92.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page6_img1__dup","7","page6_img1__DUP__187F8193FE.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page6_img2__dup","5","page6_img2__DUP__19D04541FF.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page6_img4__dup","4","page6_img4__DUP__3D8B0B6DD8.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page6_img6__dup","2","page6_img6__DUP__C74A5B8E5E.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img1__dup","5","page7_img1__DUP__16D2EB7CF0.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img12__dup","2","page7_img12__DUP__4F4AF70EA4.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img13__dup","2","page7_img13__DUP__797A903089.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img2__dup","5","page7_img2__DUP__4CC70F99E6.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img3__dup","4","page7_img3__DUP__05D44099D6.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img4__dup","6","page7_img4__DUP__527CA80988.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img5__dup","5","page7_img5__DUP__21A184AE5D.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img6__dup","5","page7_img6__DUP__2E326DB3EE.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img7__dup","3","page7_img7__DUP__54D9642F2C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img8__dup","3","page7_img8__DUP__1B93C76979.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page7_img9__dup","3","page7_img9__DUP__24CE36E305.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img1__dup","6","page8_img1__DUP__008E6EDB28.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img11__dup","2","page8_img11__DUP__15BADF1962.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img12__dup","2","page8_img12__DUP__3C0F1372EC.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img13__dup","2","page8_img13__DUP__7E186B5CE9.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img2__dup","3","page8_img2__DUP__0018F8E6E0.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img3__dup","2","page8_img3__DUP__89210441A7.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img4__dup","4","page8_img4__DUP__2762CC56D6.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img5__dup","2","page8_img5__DUP__84327D1AA4.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img6__dup","2","page8_img6__DUP__7EC0E15B3C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img7__dup","2","page8_img7__DUP__42CA6C1089.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img8__dup","2","page8_img8__DUP__408109514C.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page8_img9__dup","2","page8_img9__DUP__453D9C5D83.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page9_img2__dup","2","page9_img2__DUP__CF06116B2A.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page9_img3__dup","2","page9_img3__DUP__01D447D675.png","Likely same origin / same family; good for project package."
"Same Source","SRC_page9_img4__dup","2","page9_img4__DUP__147D699325.png","Likely same origin / same family; good for project package."
"Same Source","SRC_pay-per-click-icon","4","Pay-Per-Click-Icon__56120DA1FC.png","Likely same origin / same family; good for project package."
"Same Source","SRC_places-optimization-icon","4","Places-Optimization-Icon__8FD8E96D7E.png","Likely same origin / same family; good for project package."
"Same Source","SRC_professional-consultancy-icon","4","Professional-Consultancy-Icon__7ACC7C78E4.png","Likely same origin / same family; good for project package."
"Same Source","SRC_retina-ready-icon","4","Retina-Ready-Icon__75B36F23C6.png","Likely same origin / same family; good for project package."
"Same Source","SRC_review-post-icon","4","Review-Post-Icon__90B28FB71A.png","Likely same origin / same family; good for project package."
"Same Source","SRC_search-engine-optimization-icon","4","Search-Engine-Optimization-icon__1AF04D0850.png","Likely same origin / same family; good for project package."
"Same Source","SRC_seo-goals-icon","4","SEO-Goals-Icon__7D301F77AD.png","Likely same origin / same family; good for project package."
"Same Source","SRC_seo-monitoring-icon","4","SEO-Monitoring-Icon__21CE0D7DEA.png","Likely same origin / same family; good for project package."
"Same Source","SRC_seo-practice-icon","4","SEO-Practice-Icon__0B02B35145.png","Likely same origin / same family; good for project package."
"Same Source","SRC_seo-tags-icon","4","Seo-Tags-Icon__01E6083992.png","Likely same origin / same family; good for project package."
"Same Source","SRC_social-media-marketing-icon","4","Social-Media-Marketing-Icon__890DC00F05.png","Likely same origin / same family; good for project package."
"Same Source","SRC_social-media-sharing-icon","4","Social-Media-Sharing-Icon__07D1C0FED9.png","Likely same origin / same family; good for project package."
"Same Source","SRC_system_integration_n8n","2","system_integration_n8n_(1)__8F858C98AC.svg","Likely same origin / same family; good for project package."
"Same Source","SRC_taiwan_stock_data_matrix","2","taiwan_stock_data_matrix_(1)__2287EA9B9D.svg","Likely same origin / same family; good for project package."
"Same Source","SRC_target-audience-icon","4","Target-Audience-Icon__264D3C7645.png","Likely same origin / same family; good for project package."
"Same Source","SRC_target-keywords-icon","4","Target-Keywords-Icon__49C70A0986.png","Likely same origin / same family; good for project package."
"Same Source","SRC_time-management-icon","4","Time-Management-Icon__000F9070A1.png","Likely same origin / same family; good for project package."
"Same Source","SRC_upload-information-icon","4","Upload-Information-Icon__A11BB48561.png","Likely same origin / same family; good for project package."
"Same Source","SRC_veritas_logo_transparent","2","veritas_logo_transparent__2B5144D8E6.png","Likely same origin / same family; good for project package."
"Same Source","SRC_veritas_nobg_11zon","2","Veritas_nobg_11zon__FEB197DDF4.png","Likely same origin / same family; good for project package."
"Same Source","SRC_video-marketing-icon","4","Video-marketing-Icon__313D7B9A49.png","Likely same origin / same family; good for project package."
"Same Source","SRC_web-development-icon","4","Web-Development-Icon__4DB391B97A.png","Likely same origin / same family; good for project package."
"Same Source","SRC_website-optimization-icon","4","Website-Optimization-Icon__0DAD5E83A0.png","Likely same origin / same family; good for project package."
"Same Source","SRC_white-hat-icon","4","White-Hat-Icon__0EC12FC464.png","Likely same origin / same family; good for project package."
"Same Source","SRC_yfinance_asset_class_matrix","4","yfinance_asset_class_matrix_(2).svg","Likely same origin / same family; good for project package."
"Same Size","SIZE_1185","2","tally_chart.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_1236","2","frame_bug_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_1272","2","SEO-Monitoring-Icon__21CE0D7DEA.png","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_1324","2","marimekko_chart.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_1476","2","page8_img3__E7A2CC4BCD.png","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_1516","2","sankey_diagram.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_166348","2","yfinance_asset_class_matrix_(3).svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_1759","2","hikkake_pattern.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_1833","2","Natural-Link_icon__8A4480355F.png","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_200","2","arrow_back_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_214","2","menu_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_233","2","currency_yuan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_2495","2","gantt_chart.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_253","2","trending_down_36dp_9DC384_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_351","2","login_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__6A2A228B64.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_399","2","arrow_shape_up_stack_2_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_400","3","lan_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_406","2","warning_36dp_EA3323_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_411","2","delete_36dp_5985E1_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_422","2","hourglass_top_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_437","2","pip_exit_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_462","2","terminal_36dp_0000F5_FILL0_wght400_GRAD0_opsz40_(1)__EA04F763F6.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_464","2","add_photo_alternate_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_5298","2","1-4-2__DUP__140EECF5C8.jpg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_5828","2","Target-Keywords-Icon.png","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_705","2","payments_36dp_0000F5_FILL0_wght400_GRAD0_opsz40.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_750","2","line_graph.svg","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_76979","2","page1_img7__C27975E615.png","Same size only; inspect visually before merge/delete."
"Same Size","SIZE_9634","2","page7_img3__DUP__2B5B88EEFF.png","Same size only; inspect visually before merge/delete."
