"OutputDatabase","TableId","ExtractionSubject","ExtractionScope","Headers","Source","Frequency","Required","Validation","SupportiveTools","OutputRoot"
"VDF_TW_CapitalAction.parquet / VDF_TW_CapitalAction.duckdb / VDF_TW_CapitalAction.csv / VDF_TW_CapitalAction.json","VDF_TW_CapitalAction","股本變化","現增、減資、私募、股票分割、股本與股數變動。","ticker,date,action_type,old_capital,new_capital,shares_change,description","MOPS,TWSE,TPEX","EVENT","ticker,date,action_type","date_iso; action_type_not_null; capital_numeric_nullable","Aegis: corporate action hard-gate; Celeritas: event cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_IndexDaily.parquet / VDF_TW_IndexDaily.duckdb / VDF_TW_IndexDaily.csv / VDF_TW_IndexDaily.json","VDF_TW_IndexDaily","台股指數","加權指數、櫃買指數、類股指數每日行情。","index_code,date,name,open,high,low,close,volume,return_1d","TWSE,TPEX,YFINANCE","DAILY","index_code,date,close","date_iso; close_numeric","Aegis: index sanity check; Celeritas: daily fetch acceleration","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_ETFProfile.parquet / VDF_TW_ETFProfile.duckdb / VDF_TW_ETFProfile.csv / VDF_TW_ETFProfile.json","VDF_TW_ETFProfile","ETF 基本資料","ETF 名稱、發行投信、分類、追蹤指標、費用率、上市日期。","etf_code,name,issuer,category,benchmark,expense_ratio,listed_date","TWSE,TPEX,Issuer,YFINANCE","MONTHLY","etf_code,name","etf_code_not_null; expense_ratio_numeric_nullable","Aegis: ETF schema guard; Celeritas: profile cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_ETFHoldings.parquet / VDF_TW_ETFHoldings.duckdb / VDF_TW_ETFHoldings.csv / VDF_TW_ETFHoldings.json","VDF_TW_ETFHoldings","ETF 持股","ETF 成分股、權重、股數、市值。","etf_code,date,ticker,name,weight,shares,market_value","Issuer,TWSE,TPEX","DAILY_WEEKLY_MONTHLY","etf_code,date,ticker,weight","weight_numeric; weight_sum_check; date_iso","Aegis: constituent weight guard; Celeritas: holdings cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_TW_ThemeMapping.parquet / VDF_TW_ThemeMapping.duckdb / VDF_TW_ThemeMapping.csv / VDF_TW_ThemeMapping.json","VDF_TW_ThemeMapping","投資主題分類","AI、半導體、電動車、金融、原物料、航運等主題與股票映射。","theme_id,theme_name,ticker,name,weight,source,updated_at","Internal SSOT,VDF,Manual Review","WEEKLY_MONTHLY","theme_id,theme_name,ticker","theme_not_null; ticker_regex","Aegis: taxonomy consistency guard; Celeritas: theme mapping cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_Global_Macro.parquet / VDF_Global_Macro.duckdb / VDF_Global_Macro.csv / VDF_Global_Macro.json","VDF_Global_Macro","全球總經","利率、CPI、PMI、GDP、失業率、貨幣供給、殖利率。","symbol,date,value,source,unit,frequency,description","FRED,YFINANCE,Official API","DAILY_WEEKLY_MONTHLY","symbol,date,value,source","symbol_not_null; date_iso; value_numeric","Aegis: source trust guard; Celeritas: API cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_Global_Commodity.parquet / VDF_Global_Commodity.duckdb / VDF_Global_Commodity.csv / VDF_Global_Commodity.json","VDF_Global_Commodity","全球商品","原油、黃金、銅、鐵礦、焦煤、鋼價、農產品。","symbol,date,value,source,unit,frequency,description","AKSHARE,YFINANCE,FRED","DAILY_WEEKLY","symbol,date,value,source","symbol_not_null; date_iso; value_numeric","Aegis: commodity source guard; Celeritas: fetch/cache acceleration","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_Global_Freight.parquet / VDF_Global_Freight.duckdb / VDF_Global_Freight.csv / VDF_Global_Freight.json","VDF_Global_Freight","航運與運價","BDI、SCFI、CCFI、油輪、貨櫃、散裝航運運價。","symbol,date,value,source,unit,route,frequency","AKSHARE,YFINANCE,Public Index","DAILY_WEEKLY","symbol,date,value,source","symbol_not_null; date_iso; value_numeric","Aegis: freight source guard; Celeritas: shipping index cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_Global_FXRate.parquet / VDF_Global_FXRate.duckdb / VDF_Global_FXRate.csv / VDF_Global_FXRate.json","VDF_Global_FXRate","匯率","USD/TWD、DXY、主要貨幣對每日行情。","pair,date,open,high,low,close,source","YFINANCE,FRED,Official API","DAILY","pair,date,close,source","pair_not_null; date_iso; close_numeric","Aegis: fx sanity guard; Celeritas: fx cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"VDF_RiskEventCalendar.parquet / VDF_RiskEventCalendar.duckdb / VDF_RiskEventCalendar.csv / VDF_RiskEventCalendar.json","VDF_RiskEventCalendar","事件風險日曆","法說會、除息、財報公告、央行會議、總經數據、重大事件。","event_id,date,ticker,market,event_type,title,source,risk_level","MOPS,TWSE,TPEX,FRED Calendar,Manual Review","DAILY_EVENT","event_id,date,event_type,title","event_id_not_null; date_iso; risk_level_enum","Aegis: event risk gate; Celeritas: calendar index/cache","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
