selected_category,function,total_score,base_score,signature_score,doc_score,probe_status,signature,module,hit_keywords,next_action,doc_head,probe_error
IRON_ORE,macro_usa_core_pce_price,216,120,48,48,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_usa,macro|ore|price|指数,"v027.2 sample-call gate only; max 1-row, no DB write","美国核心PCE物价指数年率报告, 数据区间从 19700101-至今 https://datacenter.jin10.com/reportType/dc_usa_core_pce_price :return: 美国核心PCE物价指数年率报告 :rtype: pandas.DataFrame",
IRON_ORE,futures_hog_core,214,150,56,8,OK_SIGNATURE_DOC,(symbol: str = '外三元') -> pandas.DataFrame,akshare.futures_derivative.futures_hog,futures|ore|symbol,"v027.2 sample-call gate only; max 1-row, no DB write","玄田数据-核心数据 https://zhujia.zhuwang.com.cn :param symbol: choice of {""外三元"", ""内三元"", ""土杂猪""} :type symbol: str :return: 玄田数据-核心数据 :rtype: pandas.DataFrame",
IRON_ORE,macro_china_foreign_exchange_gold,200,140,60,0,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_china,china|macro|ore,"v027.2 sample-call gate only; max 1-row, no DB write",央行黄金和外汇储备 https://finance.sina.com.cn/mac/#fininfo-5-0-31-2 :return: 央行黄金和外汇储备 :rtype: pandas.DataFrame,
IRON_ORE,macro_usa_core_ppi,200,120,40,40,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_usa,macro|ore|指数,"v027.2 sample-call gate only; max 1-row, no DB write","美国核心生产者物价指数(PPI)报告, 数据区间从20080318-至今 https://datacenter.jin10.com/reportType/dc_usa_core_ppi :return: 美国核心生产者物价指数(PPI)报告-今值(%) :rtype: pandas.DataFrame",
IRON_ORE,macro_usa_core_cpi_monthly,188,120,48,20,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_usa,macro|monthly|ore,"v027.2 sample-call gate only; max 1-row, no DB write","美国核心 CPI 月率报告, 数据区间从 19700101-至今 https://datacenter.jin10.com/reportType/dc_usa_core_cpi :return: 美国核心CPI月率报告 :rtype: pandas.DataFrame",
IRON_ORE,forex_hist_em,156,100,28,28,OK_SIGNATURE_DOC,(symbol: str = 'USDCNH') -> pandas.DataFrame,akshare.forex.forex_em,hist|ore|spot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富网-行情中心-外汇市场-所有汇率-历史行情数据 https://quote.eastmoney.com/cnyrate/EURCNYC.html :param symbol: 品种代码；可以通过 ak.forex_spot_em() 来获取所有可获取历史行情数据的品种代码 :type symbol: str :return: 历史行情数据 :rtype: pandas.DataFrame,
IRON_ORE,stock_profit_forecast_em,140,100,20,20,OK_SIGNATURE_DOC,(symbol: str = '') -> pandas.DataFrame,akshare.stock_fundamental.stock_profit_forecast_em,ore,"v027.2 sample-call gate only; max 1-row, no DB write","东方财富网-数据中心-研究报告-盈利预测 https://data.eastmoney.com/report/profitforecast.jshtml :param symbol: """", 默认为获取全部数据; symbol=""船舶制造"", 则获取具体行业板块的数据; 行业板块可以通过 ak.stock_board_industry_name_em() 接口获取 :type symbol: str :return: 盈利预测 :rtype: pandas.DataFrame",
IRON_ORE,qhkc_tool_foreign,128,100,20,8,OK_SIGNATURE_DOC,(url: ~AnyStr = 'https://qhkch.com/ajax/toolbox_foreign.php'),akshare.qhkc_web.qhkc_tool,ore|price,"v027.2 sample-call gate only; max 1-row, no DB write","奇货可查-工具-外盘比价 实时更新数据, 暂不能查询历史数据 :param url: str 网址 :return: 外盘比价 :rtype: pandas.DataFrame name    base_time base_price latest_price   rate  伦敦铜  10/08 01:00       5704       5746.5  0.745  伦敦锌  10/08 01:00    2291.25      2305.75  0.633",
IRON_ORE,stock_hk_profit_forecast_et,120,100,20,0,OK_SIGNATURE_DOC,"(symbol: str = '09999', indicator: str = '盈利预测概览') -> pandas.DataFrame",akshare.stock_fundamental.stock_profit_forecast_hk_etnet,ore,"v027.2 sample-call gate only; max 1-row, no DB write","经济通-公司资料-盈利预测 https://www.etnet.com.hk/www/sc/stocks/realtime/quote_profit.php?code=9999 :param symbol: 股票代码 :type symbol: str :param indicator: ""盈利预测概览""; choice of {""评级总览"", ""去年度业绩表现"", ""综合盈利预测"", ""盈利预测概览""} :type indicator: str :return: 盈利预测 :rtype: pandas.DataFrame",
IRON_ORE,stock_profit_forecast_ths,120,100,20,0,OK_SIGNATURE_DOC,"(symbol: str = '600519', indicator: str = '预测年报每股收益') -> pandas.DataFrame",akshare.stock_fundamental.stock_profit_forecast_ths,ore,"v027.2 sample-call gate only; max 1-row, no DB write","同花顺-盈利预测 https://basic.10jqka.com.cn/new/600519/worth.html :param symbol: 股票代码 :type symbol: str :param indicator: choice of {""预测年报每股收益"", ""预测年报净利润"", ""业绩预测详表-机构"", ""业绩预测详表-详细指标预测""} :type indicator: str :return: 盈利预测 :rtype: pandas.DataFrame",
IRON_ORE,stock_rank_forecast_cninfo,120,100,20,0,OK_SIGNATURE_DOC,(date: str = '20230817') -> pandas.DataFrame,akshare.stock.stock_rank_forecast,ore,"v027.2 sample-call gate only; max 1-row, no DB write",巨潮资讯-数据中心-评级预测-投资评级 https://webapi.cninfo.com.cn/#/thematicStatistics?name=%E6%8A%95%E8%B5%84%E8%AF%84%E7%BA%A7 :param date: 查询日期 :type date: str :return: 投资评级 :rtype: pandas.DataFrame,
STEEL,stock_hot_search_baidu,90,50,20,20,OK_SIGNATURE_DOC,"(symbol: str = 'A股', date: str = '20250616', time: str = '今日')",akshare.stock.stock_hot_search_baidu,hot,"v027.2 sample-call gate only; max 1-row, no DB write","百度股市通-热搜股票 https://gushitong.baidu.com/hotlist?mainTab=hotSearch&market=all :param symbol: choice of {""全部"", ""A股"", ""港股"", ""美股""} :type symbol: str :param date: 日期 :type date: str :param time: time=""今日""；choice of {""今日"", ""1小时""} :type time: str",
STEEL,stock_hk_hot_rank_detail_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = '00700') -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-历史趋势 https://guba.eastmoney.com/rank/stock?code=HK_00700 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 个股的历史趋势 :rtype: pandas.DataFrame,
STEEL,stock_hk_hot_rank_detail_realtime_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = '00700') -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-实时变动 https://guba.eastmoney.com/rank/stock?code=HK_00700 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 实时变动 :rtype: pandas.DataFrame,
STEEL,stock_hk_hot_rank_em,70,50,20,0,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-人气榜-港股市场 https://guba.eastmoney.com/rank/ :return: 人气榜 :rtype: pandas.DataFrame,
STEEL,stock_hk_hot_rank_latest_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = '00700') -> pandas.DataFrame,akshare.stock.stock_hk_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-最新排名 https://guba.eastmoney.com/rank/stock?code=HK_00700 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 最新排名 :rtype: pandas.DataFrame,
STEEL,stock_hot_deal_xq,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = '最热门') -> pandas.DataFrame,akshare.stock_feature.stock_hot_xq,hot,"v027.2 sample-call gate only; max 1-row, no DB write","雪球-沪深股市-热度排行榜-分享交易排行榜 https://xueqiu.com/hq :param symbol: choice of {""本周新增"", ""最热门""} :type symbol: str :return: 分享交易排行榜 :rtype: pandas.DataFrame",
STEEL,stock_hot_follow_xq,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = '最热门') -> pandas.DataFrame,akshare.stock_feature.stock_hot_xq,hot,"v027.2 sample-call gate only; max 1-row, no DB write","雪球-沪深股市-热度排行榜-关注排行榜 https://xueqiu.com/hq :param symbol: choice of {""本周新增"", ""最热门""} :type symbol: str :return: 关注排行榜 :rtype: pandas.DataFrame",
STEEL,stock_hot_keyword_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = 'SZ000665') -> pandas.DataFrame,akshare.stock.stock_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-热门关键词 https://guba.eastmoney.com/rank/stock?code=000665 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 热门关键词 :rtype: pandas.DataFrame,
STEEL,stock_hot_rank_detail_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = 'SZ000665') -> pandas.DataFrame,akshare.stock.stock_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-历史趋势及粉丝特征 https://guba.eastmoney.com/rank/stock?code=000665 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 个股的历史趋势及粉丝特征 :rtype: pandas.DataFrame,
STEEL,stock_hot_rank_detail_realtime_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = 'SZ000665') -> pandas.DataFrame,akshare.stock.stock_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-实时变动 https://guba.eastmoney.com/rank/stock?code=000665 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 实时变动 :rtype: pandas.DataFrame,
STEEL,stock_hot_rank_em,70,50,20,0,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.stock.stock_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-人气榜 https://guba.eastmoney.com/rank/ :return: 人气榜 :rtype: pandas.DataFrame,
STEEL,stock_hot_rank_latest_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = 'SZ000665') -> pandas.DataFrame,akshare.stock.stock_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-最新排名 https://guba.eastmoney.com/rank/stock?code=000665 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 最新排名 :rtype: pandas.DataFrame,
STEEL,stock_hot_rank_relate_em,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = 'SZ000665') -> pandas.DataFrame,akshare.stock.stock_hot_rank_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-相关股票 https://guba.eastmoney.com/rank/stock?code=000665 :param symbol: 带市场表示的证券代码 :type symbol: str :return: 相关股票 :rtype: pandas.DataFrame,
STEEL,stock_hot_tweet_xq,70,50,20,0,OK_SIGNATURE_DOC,(symbol: str = '最热门') -> pandas.DataFrame,akshare.stock_feature.stock_hot_xq,hot,"v027.2 sample-call gate only; max 1-row, no DB write","雪球-沪深股市-热度排行榜-讨论排行榜 https://xueqiu.com/hq :param symbol: choice of {""本周新增"", ""最热门""} :type symbol: str :return: 讨论排行榜 :rtype: pandas.DataFrame",
STEEL,stock_hot_up_em,70,50,20,0,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.stock.stock_hot_up_em,hot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富-个股人气榜-飙升榜 https://guba.eastmoney.com/rank/ :return: 飙升榜 :rtype: pandas.DataFrame,
COMMODITY_FUTURES,futures_foreign_commodity_realtime,332,200,76,56,OK_SIGNATURE_DOC,"(symbol: Union[str, List[str]]) -> pandas.DataFrame",akshare.futures.futures_hq_sina,commodity|futures|ore|symbol|期货,"v027.2 sample-call gate only; max 1-row, no DB write",新浪-外盘期货-行情数据 https://finance.sina.com.cn/money/future/hf.html :param symbol: 通过调用 ak.futures_hq_subscribe_exchange_symbol() 函数来获取 :type symbol: list or str :return: 行情数据 :rtype: pandas.DataFrame,
COMMODITY_FUTURES,futures_foreign_hist,318,150,72,96,OK_SIGNATURE_DOC,(symbol: str = 'ZSD') -> pandas.DataFrame,akshare.futures.futures_foreign,commodity|futures|hist|ore|symbol|期货,"v027.2 sample-call gate only; max 1-row, no DB write","外盘期货-历史行情数据-日频率 https://finance.sina.com.cn/money/future/hf.html :param symbol: 外盘期货代码, 可以通过 ak.futures_foreign_commodity_subscribe_exchange_symbol() 来获取所有品种代码 :type symbol: str :return: 历史行情数据-日频率 :rtype: pandas.DataFrame",
COMMODITY_FUTURES,futures_index_ccidx,282,70,116,96,OK_SIGNATURE_DOC,(symbol: str = '中证商品期货指数') -> pandas.DataFrame,akshare.futures.futures_index_ccidx,futures|index|symbol|商品|指数|期货,"v027.2 sample-call gate only; max 1-row, no DB write","中证商品指数-商品指数-日频率 http://www.ccidx.com/index.html :param symbol: choice of {""中证商品期货指数"", ""中证商品期货价格指数""} :type symbol: str :return: 商品指数-日频率 :rtype: pandas.DataFrame",
COMMODITY_FUTURES,futures_foreign_commodity_subscribe_exchange_symbol,276,200,76,0,OK_SIGNATURE_DOC,() -> list,akshare.futures.futures_hq_sina,commodity|futures|ore|symbol,"v027.2 sample-call gate only; max 1-row, no DB write",需要订阅的行情的代码 https://finance.sina.com.cn/money/future/hf.html :return: 需要订阅的行情的代码 :rtype: list,
COMMODITY_FUTURES,futures_foreign_detail,262,150,56,56,OK_SIGNATURE_DOC,(symbol: str = 'ZSD') -> pandas.DataFrame,akshare.futures.futures_foreign,futures|ore|symbol,"v027.2 sample-call gate only; max 1-row, no DB write","foreign futures contract detail data :param symbol: futures symbol, you can get it from hf_subscribe_exchange_symbol function :type symbol: str :return: contract detail :rtype: pandas.DataFrame",
COMMODITY_FUTURES,macro_china_commodity_price_index,226,110,96,20,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.economic.macro_china,china|commodity|index|macro|price|商品,"v027.2 sample-call gate only; max 1-row, no DB write",大宗商品价格 https://data.eastmoney.com/cjsj/hyzs_list_EMI00662535.html :return: 大宗商品价格 :rtype: pandas.DataFrame,
COMMODITY_FUTURES,forex_spot_em,218,150,48,20,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.forex.forex_em,ore|spot,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富网-行情中心-外汇市场-所有汇率-实时行情数据 https://quote.eastmoney.com/center/gridlist.html#forex_all :return: 实时行情数据 :rtype: pandas.DataFrame,
COMMODITY_FUTURES,futures_hog_core,214,150,56,8,OK_SIGNATURE_DOC,(symbol: str = '外三元') -> pandas.DataFrame,akshare.futures_derivative.futures_hog,futures|ore|symbol,"v027.2 sample-call gate only; max 1-row, no DB write","玄田数据-核心数据 https://zhujia.zhuwang.com.cn :param symbol: choice of {""外三元"", ""内三元"", ""土杂猪""} :type symbol: str :return: 玄田数据-核心数据 :rtype: pandas.DataFrame",
COMMODITY_FUTURES,stock_zh_index_spot_em,202,70,76,56,OK_SIGNATURE_DOC,(symbol: str = '上证系列指数') -> pandas.DataFrame,akshare.index.index_stock_zh,index|spot|symbol|指数,"v027.2 sample-call gate only; max 1-row, no DB write","东方财富网-行情中心-沪深京指数 https://quote.eastmoney.com/center/gridlist.html#index_sz :param symbol: ""上证系列指数""; choice of {""沪深重要指数"", ""上证系列指数"", ""深证系列指数"", ""指数成份"", ""中证系列指数""} :type symbol: str :return: 指数的实时行情数据 :rtype: pandas.DataFrame",
COMMODITY_FUTURES,futures_spot_price_daily,196,100,56,40,OK_SIGNATURE_DOC,"(start_day: str = '20210201', end_day: str = '20210208', vars_list: list = ['IF', 'IC', 'IM', 'IH', 'T', 'TF', 'TS', 'TL', 'C', 'CS', 'A', 'B', 'M', 'Y', 'P', 'FB', 'BB', 'JD', 'L', 'V', 'PP', 'J', 'JM', 'I', 'EG', 'RR', 'EB', 'PG', 'LH', 'LG', 'BZ', 'WH', 'PM', 'CF', 'SR', 'TA', 'OI', 'RI', 'MA', 'ME', 'FG', 'RS', 'RM', 'ZC', 'JR', 'LR', 'SF', 'SM', 'WT', 'TC', 'GN', 'RO', 'ER', 'SRX', 'SRY', 'WSX', 'WSY', 'CY', 'AP', 'UR', 'CJ', 'SA', 'PK', 'PF', 'PX', 'SH', 'PR', 'PL', 'CU', 'AL', 'ZN', 'PB', 'NI', 'SN', 'AU', 'AG', 'RB', 'WR', 'HC', 'FU', 'BU', 'RU', 'SC', 'NR', 'SP', 'SS', 'LU', 'BC', 'AO', 'BR', 'EC', 'AD', 'OP', 'SI', 'LC', 'PS'])",akshare.futures.futures_basis,daily|futures|price|spot|商品|现货,"v027.2 sample-call gate only; max 1-row, no DB write","指定时间段内大宗商品现货价格及相应基差 https://www.100ppi.com/sf/ :param start_day: str 开始日期 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象; 默认为当天 :param end_day: str 结束数据 format：YYYY-MM-DD 或 YYYYMMDD 或 datetime.date对象; 默认为当天 :param vars_list: list 合约品种如 [RB, AL]; 默认参数为所有商品 :return: 基差 :rtype: pandas.DataFrame 展期收益率数据:",
COMMODITY_FUTURES,futures_spot_sys,196,100,48,48,OK_SIGNATURE_DOC,"(symbol: str = '铜', indicator: str = '市场价格') -> pandas.DataFrame",akshare.futures_derivative.futures_spot_sys,futures|spot|symbol|商品|期货,"v027.2 sample-call gate only; max 1-row, no DB write","生意社-商品与期货-现期图 https://www.100ppi.com/sf/792.html :param symbol: 期货品种 :type symbol: str :param indicator: 市场价格; choice of {""市场价格"", ""基差率"", ""主力基差""} :type indicator: str :return: pandas.DataFrame :rtype: dict",
COMMODITY_FUTURES,futures_zh_spot,196,100,48,48,OK_SIGNATURE_DOC,"(symbol: str = 'V2309', market: str = 'CF', adjust: str = '0') -> pandas.DataFrame",akshare.futures.futures_zh_sina,futures|spot|symbol|商品|期货,"v027.2 sample-call gate only; max 1-row, no DB write","期货的实时行情数据 https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html#titlePos_1 :param symbol: 合约名称的字符串组合 :type symbol: str :param market: CF 为商品期货 :type market: str :param adjust: '1' or '0'；字符串的 0 或 1；返回合约、交易所和最小变动单位的实时数据, 返回数据会变慢 :type adjust: str",
COMMODITY_FUTURES,futures_spot_price,188,100,48,40,OK_SIGNATURE_DOC,"(date: str = '20240430', vars_list: list = ['IF', 'IC', 'IM', 'IH', 'T', 'TF', 'TS', 'TL', 'C', 'CS', 'A', 'B', 'M', 'Y', 'P', 'FB', 'BB', 'JD', 'L', 'V', 'PP', 'J', 'JM', 'I', 'EG', 'RR', 'EB', 'PG', 'LH', 'LG', 'BZ', 'WH', 'PM', 'CF', 'SR', 'TA', 'OI', 'RI', 'MA', 'ME', 'FG', 'RS', 'RM', 'ZC', 'JR', 'LR', 'SF', 'SM', 'WT', 'TC', 'GN', 'RO', 'ER', 'SRX', 'SRY', 'WSX', 'WSY', 'CY', 'AP', 'UR', 'CJ', 'SA', 'PK', 'PF', 'PX', 'SH', 'PR', 'PL', 'CU', 'AL', 'ZN', 'PB', 'NI', 'SN', 'AU', 'AG', 'RB', 'WR', 'HC', 'FU', 'BU', 'RU', 'SC', 'NR', 'SP', 'SS', 'LU', 'BC', 'AO', 'BR', 'EC', 'AD', 'OP', 'SI', 'LC', 'PS']) -> pandas.DataFrame",akshare.futures.futures_basis,futures|price|spot|商品|现货,"v027.2 sample-call gate only; max 1-row, no DB write",指定交易日大宗商品现货价格及相应基差 https://www.100ppi.com/sf/day-2017-09-12.html :param date: 开始日期 format: YYYY-MM-DD 或 YYYYMMDD 或 datetime.date 对象; 为空时为当天 :param vars_list: 合约品种如 RB、AL 等列表 为空时为所有商品 :return: pandas.DataFrame 展期收益率数据: var              商品品种                     string sp               现货价格                     float,
COMMODITY_FUTURES,futures_spot_price_previous,188,100,48,40,OK_SIGNATURE_DOC,(date: str = '20240430') -> pandas.DataFrame,akshare.futures.futures_basis,futures|price|spot|商品|现货,"v027.2 sample-call gate only; max 1-row, no DB write",具体交易日大宗商品现货价格及相应基差 https://www.100ppi.com/sf/day-2017-09-12.html :param date: 交易日; 历史日期 :type date: str :return: 现货价格及相应基差 :rtype: pandas.DataFrame,
COMMODITY_FUTURES,futures_global_spot_em,180,100,40,40,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.futures.futures_hf_em,futures|spot|期货,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富网-行情中心-期货市场-国际期货 https://quote.eastmoney.com/center/gridlist.html#futures_global :return: 行情数据 :rtype: pandas.DataFrame,
COMMODITY_FUTURES,futures_spot_stock,176,100,48,28,OK_SIGNATURE_DOC,(symbol: str = '能源') -> pandas.DataFrame,akshare.futures.futures_spot_stock_em,futures|spot|symbol|现货,"v027.2 sample-call gate only; max 1-row, no DB write","东方财富网-数据中心-现货与股票 https://data.eastmoney.com/ifdata/xhgp.html :param symbol: choice of {'能源', '化工', '塑料', '纺织', '有色', '钢铁', '建材', '农副'} :type symbol: str :return: 现货与股票上下游对应数据 :rtype: pandas.DataFrame",
COMMODITY_FUTURES,index_hog_spot_price,174,70,56,48,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.index.index_hog,index|price|spot|指数,"v027.2 sample-call gate only; max 1-row, no DB write",行情宝-生猪市场价格指数 https://hqb.nxin.com/pigindex/index.shtml :return: 生猪市场价格指数 :rtype: pandas.DataFrame,
COMMODITY_FUTURES,stock_hk_index_spot_em,166,70,48,48,OK_SIGNATURE_DOC,() -> pandas.DataFrame,akshare.index.index_stock_hk,index|spot|指数,"v027.2 sample-call gate only; max 1-row, no DB write",东方财富网-行情中心-港股-指数实时行情 https://quote.eastmoney.com/center/gridlist.html#hk_index :return: 指数行情 :rtype: pandas.DataFrame,
