#,大項目,小項目,標的/代碼,主要來源,頻率,多來源並存,證據層,用途,QA
16,D · 台股主動式ETF & 選股 (展現層),主動ETF清單,25 檔 00980A…00423A(末碼A股票型),TWSE 主動式ETF專頁,日,Y,T1,展現(不入訊號測試),CANON
17,D · 台股主動式ETF & 選股 (展現層),績效 Matrix,7 horizon 1/5/10/20/60/120/240日,收盤 adj,日,N,T1,績效排行,CANON
18,D · 台股主動式ETF & 選股 (展現層),持股異動/選股,NEW/加碼/減碼/出清/持平,TWSE 每日投組 PCF,日,Y,T1,選股→族群上捲(接C),CANON
19,D · 台股主動式ETF & 選股 (展現層),規模/受益人數,日變動,投信投顧公會,日/週,Y,T1,主動資金流真值,CANON
20,E · 全球商品流 (現貨/期貨/供給/庫存/成本),能源-原油,WTI/Brent USO·BNO·USL·DBO;現貨 FRED DCOILWTICO/DCOILBRENTEU,ETF創贖 + CFTC COT + EIA,日/週,Y(3源並存),T1/T4,商品FIS+基本面,CANON
21,E · 全球商品流 (現貨/期貨/供給/庫存/成本),能源-氣/汽油,天然氣 UNG(DHHNGSP)· 汽油 UGA,創贖 + EIA週儲(週四)+ COT,日/週,Y,T1/T4,商品FIS,CANON
22,E · 全球商品流 (現貨/期貨/供給/庫存/成本),貴金屬,金 GLD/IAU(LBMA/COMEX)· 銀 SLV · 白金鈀 PPLT/PALL,創贖 + COT + 倉儲/持金噸數,日,Y,T1,商品FIS,CANON
23,E · 全球商品流 (現貨/期貨/供給/庫存/成本),工業金屬,銅 CPER/COPX(LME/COMEX/SHFE)· 基本金屬 DBB · 鈾 URA · 鋰 LIT,創贖 + COT + 倉儲,日/週,Y,T1/T4,商品FIS,CANON
24,E · 全球商品流 (現貨/期貨/供給/庫存/成本),農產,黃豆 SOYB · 玉米 CORN · 小麥 WEAT · 廣基農 DBA,創贖 + COT + USDA WASDE,日/週/月,Y,T1/T4,商品FIS,CANON
25,E · 全球商品流 (現貨/期貨/供給/庫存/成本),廣基/商品股,DBC·PDBC·GSG · 金礦 GDX · 能源股 XLE,創贖 + COT,日,Y,T1,商品FIS,CANON
26,E · 全球商品流 (現貨/期貨/供給/庫存/成本),碳權/運費(新增),碳權 KRBN · 波羅的海運價 BDI/BDRY,創贖 + Baltic Exchange,日,Y,T1/T4,實體流動代理,CANON
27,E · 全球商品流 (現貨/期貨/供給/庫存/成本),供給/庫存/成本,EIA產量·Cushing庫存 · OPEC MOMR · LME/LBMA倉儲 · USDA · roll/儲存/邊際成本,EIA/OPEC/LME/USDA,週/月/日,Y,T1/T4,基本面疊加,CANON
28,F · 加密資產 (Crypto),主要幣,BTC(主導~56%)·ETH·XRP·SOL·… 依市值,CoinGecko/CMC 市值主導率,日/即時,Y,T1,加密方向,CANON
29,F · 加密資產 (Crypto),現貨ETF創贖/持幣,BTC IBIT/FBTC/GBTC · ETH ETHA/FETH · SOL · XRP XRPC/GXRP · LTC LTCC,Farside / issuer 持幣量,日,Y,T1,加密FIS(當沖/roll免疫),CANON
30,F · 加密資產 (Crypto),穩定幣,USDT · USDC,市值/鏈上,即時,Y,T1,現金等價(排除方向流),CANON
31,G · 美股指數分族群進出,SPX→11 GICS,XLK·XLV·XLF·XLY·XLC·XLI·XLP·XLE·XLU·XLRE·XLB,sector ETF 創贖/FIS,日,Y,T1,分族群進出(真實),CANON
32,G · 美股指數分族群進出,DJI→成分族群,30 成分(價格加權)依 sector,成分 NetFlow,日,Y,T4 待接,分族群進出,CANON
33,G · 美股指數分族群進出,NDX→Mag7/類股,Mag7 vs 其餘 IT/Comm/ConsDisc,成分 / QQQ 權值,日,Y,T4 待接,分族群進出,CANON
34,H · 資金品質指標 (TWSE),融資使用率,槓桿浮額,MI_MARGN + 融資限額,日,Y,T1,品質(高=散戶槓桿),CANON
35,H · 資金品質指標 (TWSE),融資維持率,整戶擔保維持率 <130% 追繳,衍生:融資成本基礎 vs 現價,日,Y,衍生估計,品質脆弱度(非原生欄位),CANON
36,H · 資金品質指標 (TWSE),券資比,融券/融資,MI_MARGN,日,Y,T1(漏SBL),品質(兩側槓桿+軋空),CANON
37,H · 資金品質指標 (TWSE),當沖比,當沖值/總值,TWSE 每日當日沖銷統計,日,Y,T1,data-quality 折扣權重,CANON
38,H · 資金品質指標 (TWSE),借券賣出 SBL,法人空方,TWSE/TDCC 借券,日,Y,T1,補券資比漏的法人空,CANON
39,I · 情緒/風險指標 (新增),^VIX 隱含波動,VIX spot,CBOE,即時/日,Y,T1,risk-off 溫度 / RORO,CANON
40,I · 情緒/風險指標 (新增),VIX 期限結構,VIX/VIX3M · VVIX,CBOE,日,Y,T1,contango/backwardation,CANON
41,I · 情緒/風險指標 (新增),AAII 散戶多空,Bull/Bear/Neutral %,AAII 週報(週四),週,Y,T1,散戶情緒(反指),CANON
42,I · 情緒/風險指標 (新增),CNN Fear & Greed,7 分量複合指數,CNN(可拆 7 分量),日,Y(拆分量),T1,綜合情緒,CANON
43,I · 情緒/風險指標 (新增),Put/Call Ratio,總量/指數/個股,CBOE,日,Y,T1,選擇權情緒,CANON
44,I · 情緒/風險指標 (新增),NAAIM/II 投顧情緒,專業部位/多空,NAAIM / Investors Intelligence,週,Y,T1,專業情緒(對照散戶),CANON
45,I · 情緒/風險指標 (新增),MOVE 債券波動(新增),MOVE index,ICE BofA,日,Y,T1,債市 risk-off 溫度,CANON
46,I · 情緒/風險指標 (新增),MMF 場邊現金(新增),貨幣市場基金總資產,ICI 週報,週,Y,T1,場邊現金真值(RORO),CANON
47,"J · 宏觀數據 (政府 vs 民間差異,新增)",PMI 製造/服務,官方 vs 民間,中 NBS官方 / Caixin民間 · 美 ISM / S&P Global,月,Y(官vs民並存),T1,景氣 + 官民差異,CANON
48,"J · 宏觀數據 (政府 vs 民間差異,新增)",CPI 通膨,官方 vs 民間即時,BLS官方 / Truflation · Cleveland Fed Nowcast · MIT BPP,月/日,Y(官vs民),T1,通膨 + 官民差異,CANON
49,"J · 宏觀數據 (政府 vs 民間差異,新增)",PPI 生產者,官方,BLS,月,Y,T1,生產者通膨,CANON
50,"J · 宏觀數據 (政府 vs 民間差異,新增)",官民差異指標,官方 − 民間,計算(只增不減保留兩源),月,Y,衍生,數據品質/領先訊號,CANON
51,"J · 宏觀數據 (政府 vs 民間差異,新增)",宏觀因子,利率/DXY/殖利率曲線/信用利差,FRED,日,Y,T1,接全球sim RISK/USD/INFL/GEO,CANON
52,"J · 宏觀數據 (政府 vs 民間差異,新增)",進出口/貿易(新增),台灣出口訂單·出口值(AI供應鏈領先) · 各區貿易差額,財政部/經濟部 · 各國海關,月,Y,T1,拉動因子:基本面領先,CANON
53,"J · 宏觀數據 (政府 vs 民間差異,新增)",央行資產負債表(新增),Fed 總資產 WALCL(QE/QT) · ECB/BOJ B/S,FRED / 各央行,週,Y,T1,推動因子:全球流動性供給,CANON
54,"K · AUM 多來源計算 (並存,新增)",法1 現貨ETF,AUM = Σ(shares × NAV),issuer/創贖,日,並存,T1,AUM 真值,CANON
55,"K · AUM 多來源計算 (並存,新增)",法2 期貨ETF,AUM = 持倉 × 價,issuer,日,並存,T1,AUM,CANON
56,"K · AUM 多來源計算 (並存,新增)",法3 holdings-sum,Σ(成分 × 價),holdings 明細,日,並存,T1,AUM 交叉驗證,CANON
57,"K · AUM 多來源計算 (並存,新增)",法4 issuer 申報,官方申報 AUM,issuer 官方,日,並存,T1,AUM 基準,CANON
58,"K · AUM 多來源計算 (並存,新增)",一致性檢查,四法差異 → 一致性/勘誤,計算(只增不減保留各法),日,Y,衍生,多源一致性 QA,CANON
59,"M · 債券 公債/公司債 (各區域,新增)",存續期梯(美公債),SHV·BIL(T-bill)· SHY(1-3y)· IEF(7-10y)· TLT(20y+)· GOVT(全)· TIP/VTIP(抗通膨),ETF創贖 + ICI債券流,日/週,Y,T1,利率曲線資金流,CANON
60,"M · 債券 公債/公司債 (各區域,新增)",信用層(美),投等 LQD·VCIT·VCSH · 高收 HYG·JNK · 銀行貸款 BKLN · 可轉債 CWB,ETF創贖 + HY/IG OAS 確認,日,Y(流×利差同向確認),T1,信用風險偏好,CANON
61,"M · 債券 公債/公司債 (各區域,新增)",區域-國際/歐,BNDX(國際綜合)· IGOV(國際公債)· 歐 IG,ETF創贖 + EPFR,日/週,Y,T1,區域債流,CANON
62,"M · 債券 公債/公司債 (各區域,新增)",區域-新興,硬通貨 EMB vs 當地貨幣 EMLC · 新興公司 CEMB,ETF創贖;EMB/EMLC 相對流=美元壓力,日,Y(硬vs當地並存),T1,EM 債流+USD壓力,CANON
63,"M · 債券 公債/公司債 (各區域,新增)",公債需求端真值,"標售 bid-to-cover · indirect bidders% · Fed H.4.1 custody(週)· TIC(月,滯後)· primary dealer 部位",US Treasury / NY Fed / FRED,週/月,Y(4源並存),T1,外國/官方需求,CANON
64,"M · 債券 公債/公司債 (各區域,新增)",美債期貨 positioning,ZT/ZF/ZN/ZB 管理基金淨部位,CFTC COT,週五(至週二),Y,T1,債券版法人買賣超,CANON
65,"M · 債券 公債/公司債 (各區域,新增)",台灣債券ETF,00679B 元大美債20年 等(被動末碼B·主動末碼D),TWSE/TPEX 規模·受益人·創贖,日,Y,T1,台灣散戶美債流(兆級),CANON
66,"M · 債券 公債/公司債 (各區域,新增)",信用利差確認,HY OAS(BAMLH0A0HYM2)· IG OAS(BAMLC0A0CM),FRED,日,Y,T1,流向確認閘,CANON
67,N · 匯率/利率/利差/股市吸引力 (新增),美元指數,DXY(ICE)· 廣義美元 FRED DTWEXBGS,FRED / ICE,日,Y,T1,USD regime 因子,CANON
68,N · 匯率/利率/利差/股市吸引力 (新增),各區匯率,USDJPY·EURUSD·USDTWD·USDCNY·USDKRW·USDINR,FRED / 各央行,日,Y,T1,FX 壓力,CANON
69,N · 匯率/利率/利差/股市吸引力 (新增),央行政策利率,Fed·ECB·BOJ·台CBC·PBOC·BOK·RBI,各央行 + BIS policy rates,會期/月,Y(BIS彙整並存),T1,利率水位,CANON
70,N · 匯率/利率/利差/股市吸引力 (新增),利差 carry,政策利差 vs Fed · 2Y/10Y 主權利差 vs US,FRED 殖利率系列,日,Y,T1,carry 流因子,CANON
71,N · 匯率/利率/利差/股市吸引力 (新增),指數 forward earnings,各主要指數 fwd EPS/盈餘,FactSet(付費) ∥ Yardeni·指數商factsheet(免費代理),週/月,Y(付費/免費並存),T1,估值分子,CANON
72,N · 匯率/利率/利差/股市吸引力 (新增),Forward P/E 轉換,fwdPE = Σ市值/Σfwd盈餘(=價格/fwdEPS),計算(市值口徑),日,Y,衍生,估值,CANON
73,N · 匯率/利率/利差/股市吸引力 (新增),股市吸引力,E/P(=1/fwdPE) − 當地10Y;跨區相對 vs US,計算,日,Y,衍生,流向預測因子(ERP proxy),CANON
74,N · 匯率/利率/利差/股市吸引力 (新增),三因子合成,吸引力 × 利差 × USD → 實測IC加權入 fusion,harness E3,日,Y,衍生,接 measured-weight fusion,CANON
75,L · 真值/交叉驗證源 (彙總),台股源,TWSE(T86/MI_MARGN/當沖/PCF)· TDCC集保 · 投信投顧公會 · 北向 AKShare,官方/公會,日,Y,T1,台股真值池,CANON
76,L · 真值/交叉驗證源 (彙總),美股/全球源,ICI週度 · EPFR/IIF · FRED · EIA · CFTC COT · USDA WASDE · LBMA/WGC · LME · OPEC MOMR,官方/機構,日/週/月,Y,T1,全球真值池,CANON
77,L · 真值/交叉驗證源 (彙總),情緒/加密源,CBOE(VIX/PutCall)· AAII · CNN · NAAIM · Farside(crypto),官方/供應商,日/週,Y,T1,情緒/加密真值池,CANON
