"Flow","Language","Rank","Library","Use","InstallMode","Risk","LicenseNote"
"Visual Asset Processing","JavaScript","8","icojs","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","9","potrace","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Visual Asset Processing","JavaScript","10","pixelmatch","SVG/PNG 最佳化、尺寸分析、差異比對","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","1","GridStack.js","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","2","SortableJS","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","3","Interact.js","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","4","Moveable","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","5","Tabulator","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","6","DataTables","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","7","Masonry","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","8","Isotope","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","9","Floating UI","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"UI Grid Gallery","JavaScript","10","Fuse.js","可點選、全選、拖曳、篩選、方格瀏覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","1","Plotly.js","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","2","Apache ECharts","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","3","Chart.js","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","4","D3.js","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","5","Vega-Lite","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","6","uPlot","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","7","Observable Plot","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","8","ApexCharts","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","9","Billboard.js","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Chart / Visual Spec Preview","JavaScript","10","Mermaid","視覺規範預覽、圖表模板展示","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","1","pandas","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","2","polars","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","3","pyarrow","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","4","duckdb","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","5","openpyxl","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","6","xlsxwriter","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","7","sqlite-utils","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","8","orjson","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","9","ujson","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Registry Export","Python","10","fastparquet","JSON/CSV/Parquet/DuckDB registry 輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","1","PSScriptAnalyzer","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","2","Pester","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","3","ImportExcel","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","4","PSWriteHTML","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","5","ThreadJob","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","6","powershell-yaml","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","7","platyPS","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","8","PSFramework","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","9","Pode","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Governance","PowerShell","10","BurntToast","AST/測試/HTML 報告/本地治理","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","1","CSS Grid","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","2","Flexbox","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","3","Container Queries","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","4","CSS Variables","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","5","CSS Clamp","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","6","CSS Layers","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","7","CSS Animations","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","8","CSS Scroll Snap","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","9","CSS Subgrid","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Design System","CSS","10","CSS Nesting","不可重疊、自適應、視覺規範管理","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","1","vite","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","2","esbuild","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","3","rollup","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","4","terser","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","5","postcss","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","6","autoprefixer","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","7","eslint","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","8","prettier","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","9","stylelint","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Build Tooling","Node","10","browser-sync","本地打包、壓縮、格式化、預覽","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","1","Playwright","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","2","Puppeteer","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","3","Lighthouse","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","4","axe-core","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","5","Vitest","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","6","Jest","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","7","pytest","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","8","ruff","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","9","PSScriptAnalyzer","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","10","Pester","UI 測試、效能、可用性、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","1","tauri","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","2","serde","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","3","serde_json","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","4","walkdir","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","5","zip","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","6","aes-gcm","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","7","sha2","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","8","anyhow","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","9","mime_guess","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Secure Packaging","Rust","10","tokio","未來單檔、安全封裝、payload 管理","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
