"def_priority","def_gate_type","def_accept_status","def_recommendation","def_risk","def_owner_engine","def_domain_family","def_normalized_key","def_distinct_values","def_user_accept","def_selected_canonical_value","def_reject_reason","def_next_allowed_phase","def_source_mutation","def_sample_values"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","YFinanceTickerTPEX","17","","","","v0114_only_after_YES","false","""1319.TWO"" || ""1560.TWO"" || ""1590.TWO"" || ""2308.TWO"" || ""2383.TWO"" || ""3231.TWO"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","YFinanceTickerTWSE","17","","","","v0114_only_after_YES","false","""1319.TW"" || ""1560.TW"" || ""1590.TW"" || ""2308.TW"" || ""2383.TW"" || ""3231.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","schema_first_12_json","16","","","","v0114_only_after_YES","false","""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ak_key\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ak... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""cl... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""fi... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""via_code\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}]"" || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ma..."
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","tw_ticker","15","","","","v0114_only_after_YES","false","{ || r.get(bt,"""") if bt else """" || bi.get(""tw_ticker"","""") || r.get(""tw_ticker"","""") || """" || r.get(basic_ticker_col, """") if basic_ticker_col else """""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","yfinance_ticker","14","","","","v0114_only_after_YES","false","""All TW_Yfinance_Ticker"" || ""TW_Index_Yfinance_Ticker"" || ""YfinanceTicker when available"" || ""YfinanceTicker when applicable"" || ""1101.TW"" || ""1102.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","fred","13","","","","v0114_only_after_YES","false","{ || ""環境變數 FRED_API_KEY"" || {""enabled"": True,  ""api_key"": """", ""timeout_sec"": 30, ""retries"": 3} || [ || DGS10"":     df_with_value_column || DCOILWTICO"": df"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","tw_yfinance_ticker","11","","","","v0114_only_after_YES","false","""{TW_TICKER}.TW or {TW_TICKER}.TWO"" || ""6669.TW"" || ""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_mn_twd","10","","","","v0114_only_after_YES","false","933 || 885 || 941 || 891 || 960 || 899"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","timezone_policy","10","","","","v0114_only_after_YES","false","timezone_policy = ""LOCAL_AS_IS"" || timezone_policy = ""ASIA_TAIPEI"" || timezone_policy = ""US_TO_TAIPEI_SHIFT_PLUS_1"" || timezone_policy = ""SOURCE_TIMEZONE_TO_TAIPEI"" || timezone_policy || r.get(""timezone_policy"", ""LOCAL_AS_IS"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","HardGate","10","","","","v0114_only_after_YES","false","""TWSE v018 manifest exists; rows >= 2460; CSV/JSON/Parquet/DuckDB exist."" || ""Do not execute all 20 paths. Select one quote/list endpoint first."" || ""First safe table = VDF_TW_MonthlyRevenue."" || ""MonthlyRevenue seal must exist first."" || ""FRED_API_KEY exists; package env ready."" || ""Capability probe seal must exist first."""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_csv","9","","","","v0114_only_after_YES","false","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\RUN_20260526_220104_VRN_V141A_READONLY_CONSUMER_LOADER\\VRN_v141A_Consumer_Loader_... || OUT_SCHEMA_CSV || str(run_dir / ""vrn_post_commit_schema_v0615721.csv"") || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\RUN_20260526_202858_VRN_V140L_ROUTE_VERIFY_DASHBOARD_READINESS\\VRN_v140L_Table_Sc... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\VRN_POST_COMMIT_PRODUCTION_SEAL_V0615721_20260523_235836\\vrn_post_commit_schema_v06... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\RUN_20260526_193326_VRN_V140H_READONLY_PRODUCTION_VERIFY\\VRN_v140H_Production_Tab..."
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","TW_YFINANCE_REGEX","9","","","","v0114_only_after_YES","false","TW_YFINANCE_REGEX  = r""[1-9]\d{3}\.(TW|TWO)"" || TW_YFINANCE_REGEX   = XXXX.TW / XXXX.TWO format || TW_YFINANCE_REGEX  = r""^([1-9]\d{3})\.(TW|TWO)$"" || TW_YFINANCE_REGEX  = re.compile(r""\b[1-9]\d{3}\.(TW|TWO)\b"") || TW_YFINANCE_REGEX   = r""([1-9]\d{3})\.(TW|TWO)"" || TW_YFINANCE_REGEX  = r""([1-9]\d{3})\.(TW|TWO)"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","akshare","9","","","","v0114_only_after_YES","false","{ || {""enabled"": True,  ""timeout_sec"": 45, ""retries"": 3} || true || [ || False || akshare = None"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","TW_TICKER_REGEX","9","","","","v0114_only_after_YES","false","""(?<!\\d)([1-9]\\d{3})(?!\\d)"" || TW_TICKER_REGEX    = r""(?!202\d|2030)[1-9]\d{3}"" || TW_TICKER_REGEX = re.compile(r""^(?!202[1-9])(?!2030)[1-9]\d{3}$"") || TW_TICKER_REGEX     = r""(?!0)(?!202[1-9])(?!2030)([1-9]\d{3})"" || TW_TICKER_REGEX    = r""(?!0)(?!202[1-9])(?!2030)([1-9]\d{3})"" || TW_TICKER_REGEX    = re.compile(r""^(?!202[1-9])(?!2030)[1-9]\d{3}$"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","RequiredFields","9","","","","v0114_only_after_YES","false","""ticker,name,market"" || ""ticker,name"" || ""ticker,date,close,volume"" || ""ticker,yyyymm,revenue"" || ""ticker,period"" || ""ticker,date"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","changed_units","9","","","","v0114_only_after_YES","false","0 || 57 || 70 || 91 || 82 || 113"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_x","8","","","","v0114_only_after_YES","false","66 || 104 || 61 || 118 || 60 || 109"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","target_field","8","","","","v0114_only_after_YES","false","""AI_PRJ"" || ""AI_PROC"" || ""AI_MAT"" || ""AI_ORG"" || ""AI_COST"" || ""AI_BGT"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","mixing_policy","8","","","","v0114_only_after_YES","false","""official_source_only_when_row.other_source == not_allowed"" || ""allowed_only_when_registry_row.source includes MOPS"" || ""not_allowed_for_tw_official_chip_margin_daytrade_rows"" || ""allowed_only_when fallback_allowed == true"" || ""allowed_only_for_macro/rates/long_series or fallback_allowed == true"" || ""not primary unless explicitly allowed by historical_validation_policy"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VIA","GOVERNANCE_POLICY","calendar_policy","8","","","","v0114_only_after_YES","false","calendar_policy = ""NO_CALENDAR_ALIGNMENT"" || calendar_policy = ""TW_TRADING_DAY"" || calendar_policy = ""US_TRADING_DAY_SHIFTED_TO_TW_VIEW"" || calendar_policy = ""MACRO_CALENDAR_FORWARD_FILL"" || calendar_policy || r.get(""calendar_policy"", ""NO_CALENDAR_ALIGNMENT"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VIA","GOVERNANCE_POLICY","fill_policy","7","","","","v0114_only_after_YES","false","fill_policy = ""NO_FILL"" || fill_policy = ""FORWARD_FILL_ALLOWED_FOR_MACRO_ONLY"" || fill_policy = ""FORWARD_FILL_ALLOWED"" || fill_policy || r.get(""fill_policy"", ""NO_FILL"") || ""FORWARD_FILL_ALLOWED_FOR_MACRO_ONLY"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","left_ticker","7","","","","v0114_only_after_YES","false","left || ""2330.TW"" || ""2317.TW"" || ""2454.TW"" || ""NVDA"" || ""SPY"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","alignment_policy","7","","","","v0114_only_after_YES","false","alignment_policy = ""TW_TRADING_DATE"" || alignment_policy = ""US_TO_TAIPEI_SHIFT_PLUS_1"" || alignment_policy = ""SOURCE_AS_IS"" || alignment_policy || ""TW_TRADING_DATE"" || ""US_TO_TAIPEI_SHIFT_PLUS_1"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","addFields","7","","","","v0114_only_after_YES","false","[{k:'code',ph:'2330'},{k:'name',ph:'台積電'},{k:'market',ph:'TWSE'},{k:'sector',ph:'半導體'}] || [{k:'ticker',ph:'^GSPC'},{k:'name',ph:'S&P 500'},{k:'group',ph:'INDICES_US'},{k:'asset_class',ph:'INDEX'}] || [{k:'via_code',ph:'US.Custom.Foo'},{k:'fred_id',ph:'FRED_ID'},{k:'indicator',ph:'指標名'},{k:'theme',ph:'Rates'},{k:'freq',ph:'D'}] || [{k:'code',ph:'cn_custom'},{k:'name',ph:'自訂'},{k:'theme',ph:'Futures'},{k:'sub_theme',ph:'?'},{k:'func',ph:'futures_main_sina'}] || [] || [{k:'ticker',ph:'2330 or NVDA'},{k:'name',ph:'名稱'},{k:'market',ph:'TWSE/TPEX/US'},{k:'role',ph:'用途'}]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","right_ticker","7","","","","v0114_only_after_YES","false","right || ""2317.TW"" || ""2454.TW"" || ""NVDA"" || ""SPY"" || ""^TWII"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","schemas","6","","","","v0114_only_after_YES","false","s.get(""schemas"", """") || 45 || """" || int(v4_summary.get(""schemas"", next((x.get(""rows"", 0) for x in tables if x.get(""table"") == ""schema_intelligence_registry""), 0))) || int(v4_summary.get(""schemas"", table_map.get(""schema_intelligence_registry"", 0))) || int(len(schema_df))"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","EXTRA_TICKERS","6","","","","v0114_only_after_YES","false","EXTRA_TICKERS      = [""""NVDA"""", """"TSM"""", """"AAPL""""]          # 額外加入的海外股 || EXTRA_TICKERS      = [""""NVDA"""", """"TSM"""", """"AAPL""""] || EXTRA_TICKERS      = [&quot;NVDA&quot;, &quot;TSM&quot;, &quot;AAPL&quot;]          # 額外加入的海外股 || EXTRA_TICKERS      = [&quot;NVDA&quot;, &quot;TSM&quot;, &quot;AAPL&quot;] || EXTRA_TICKERS      = [""NVDA"", ""TSM"", ""AAPL""]          # 額外加入的海外股 || EXTRA_TICKERS      = [""NVDA"", ""TSM"", ""AAPL""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VIA","GOVERNANCE_POLICY","weekend_holiday_policy","6","","","","v0114_only_after_YES","false","""strict"" if ""Crypto"" in theme else ""forward_fill""} || ""skip""} || { || ""forward_fill"" || ""skip"" || ""strict"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_twd","6","","","","v0114_only_after_YES","false","42 || 47 || 41 || 46 || 33 || 31"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","fred_api_key_exists","5","","","","v0114_only_after_YES","false","true || fred_key_exists || result[""fred_api_key_exists""] || bool(os.environ.get(""FRED_API_KEY"")) || any(bool(os.environ.get(k, """").strip()) for k in fred_keys)"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","merge_policy_gate","5","","","","v0114_only_after_YES","false","""MERGE_BLOCKED_UNTIL_CANONICAL_MAPPING_GATE; allowed=False; next=v027.7 AkShare canonical mapping gate only; no DB write"" || { || {} || merge_policy_gate = { || result[""merge_policy_gate""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","vrn_merge_yfinance_ticker","5","","","","v0114_only_after_YES","false","""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"" || ""1108.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","ticker_regex","5","","","","v0114_only_after_YES","false","""^[0-9A-Z]{4,8}$"" || ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VRN\\SSOT\\_runs\\VRN_UNIFIED_SSOT_BUILDER_v029SSOT1B_20260615_143918\\parquet\\VRN_TickerRegexSSOT_v029SSOT1B.par... || os.path.join(parquet_dir, ""VRN_TickerRegexSSOT_v029SSOT1B.parquet"") || ticker_regex = [ || ""^(?!202[1-9])(?!2030)[1-9]\\d{3}$"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_gate","5","","","","v0114_only_after_YES","false","""OK_SCHEMA_GATE_REVIEW_WITH_MAPPING_REQUIRED; risk=MEDIUM; count=1"" || { || {} || schema_gate = { || result[""schema_gate""]"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","factset_tw_ticker","5","","","","v0114_only_after_YES","false","""1101"" || ""1102"" || ""1103"" || ""1104"" || ""1108"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","factset_tw_yfinance_ticker","5","","","","v0114_only_after_YES","false","""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"" || ""1108.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","yf_tw_ticker","5","","","","v0114_only_after_YES","false","""1101"" || ""1102"" || ""1103"" || ""1104"" || ""1108"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","vrn_merge_ticker","5","","","","v0114_only_after_YES","false","""1101"" || ""1102"" || ""1103"" || ""1104"" || ""1108"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","DATA_SOURCE_CONTRACT","schema_id","5","","","","v0114_only_after_YES","false","""VDF_VRN_SourceFallback_AllDataRegistry"" || ""VRN_BROKER_LIST"" || ""VRN_IO_Summary"" || ""VRN_S05_FieldRegistry"" || f""SCH_{row.get('asset_id', '')}"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","yf_tw_yfinance_ticker","5","","","","v0114_only_after_YES","false","""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW"" || ""1108.TW"""
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_rows","4","","","","v0114_only_after_YES","false","schema_rows = [] || 149 || len(schema_rows) || []"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","ticker_summary_csv","4","","","","v0114_only_after_YES","false","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\VRN_BUSINESS_VALIDATION_REPORT_V061574_20260524_014947\\vrn_business_validation_by_t... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\VRN_BUSINESS_VALIDATION_REPORT_V061574_20260524_014406\\vrn_business_validation_by_t... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\VRN_BUSINESS_VALIDATION_REPORT_V061574_20260524_013646\\vrn_business_validation_by_t... || str(run_dir / ""vrn_business_validation_by_ticker_v061574.csv"")"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","missing_unit","4","","","","v0114_only_after_YES","false","0 || missing_unit = sum(1 for r in financial_rows if not str(r.get(""Unit"", """")).strip()) || missing_unit || missing_unit = sum(1 for r in fin_rows if not str(r.get(""Unit"", """")).strip())"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_band_yellow","4","","","","v0114_only_after_YES","false","5 || 360 || 11 || 59"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","before_missing_ticker","4","","","","v0114_only_after_YES","false","before_missing_ticker = sum(1 for r in basic_rows if not r.get(""ticker"")) || before_missing_ticker || 0 || before_missing_ticker=sum(1 for r in basic_rows if not r.get(""ticker""))"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VDF","MARKET_TICKER_IDENTITY","ticker_tokens","4","","","","v0114_only_after_YES","false","ticker_tokens = [] || list(dict.fromkeys(ticker_tokens)) || ticker_tokens || "" | "".join(ticker_tokens)"
"P0","DOMAIN_ACCEPT_GATE","WAIT_USER_DECISION","MUST_ACCEPT_BEFORE_CANONICAL_PATCH","HIGH","VRN/VDF","SCHEMA_FIELD_CONTRACT","def_PARAM_HARDGATE_DIR","4","","","","v0114_only_after_YES","false","$def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT """"_supportive_hardgate"""" || $def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT &quot;_supportive_hardgate&quot; || $def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT """"_supp"" || $def_PARAM_HARDGATE_DIR = Join-Path $def_PARAM_OUT_ROOT &quot;_supp</td></tr>"
