"Flow","Language","Rank","Library","Use","InstallMode","Risk","LicenseNote"
"Editable UI Drag Move Resize","JavaScript","6","Dragula","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","7","GoldenLayout","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","8","jsPlumb","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","9","LeaderLine","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Editable UI Drag Move Resize","JavaScript","10","Floating UI","拖曳、吸附、縮放、元件移動、版面編輯","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","1","Lit","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","2","Web Components","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","3","Mustache.js","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","4","Handlebars.js","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","5","Nunjucks","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","6","Alpine.js","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","7","HTMX","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","8","Preact","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","9","Svelte","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Template Builder","JavaScript","10","Vue","模板元件化、HTML Builder、低依賴 UI","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","1","BeautifulSoup4","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","2","lxml","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","3","html5lib","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","4","Jinja2","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","5","MarkupSafe","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","6","Pydantic","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","7","jsonschema","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","8","TinyCSS2","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","9","cssselect","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"HTML Parse Validate Optimize","Python","10","Premailer","解析 HTML/CSS、模板填充、規格驗證","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","1","pandas","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","2","polars","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","3","pyarrow","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","4","duckdb","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","5","openpyxl","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","6","xlsxwriter","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","7","sqlite-utils","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","8","orjson","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","9","ujson","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Data Database Export","Python","10","fastparquet","CSV/Parquet/DuckDB/Excel/JSON 資料輸出","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","1","Pillow","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","2","cairosvg","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","3","svgpathtools","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","4","imagehash","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","5","opencv-python","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","6","scikit-image","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","7","rembg","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","8","wand","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","9","pypng","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Image Icon Asset","Python","10","fonttools","圖示掃描、縮圖、SVG/PNG 管理、去重","VenvPip","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","1","PSScriptAnalyzer","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","2","Pester","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","3","ImportExcel","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","4","PSWriteHTML","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","5","ThreadJob","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","6","powershell-yaml","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","7","platyPS","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","8","PSFramework","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","9","Pode","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"PowerShell QA Packaging","PowerShell","10","BurntToast","AST、測試、HTML 報告、Excel、Local API","PSGalleryCurrentUser","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","1","tauri","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","2","serde","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","3","serde_json","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","4","zip","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","5","aes-gcm","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","6","pbkdf2","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","7","sha2","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","8","walkdir","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","9","mime_guess","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Rust Secure Runtime","Rust","10","anyhow","單一 EXE、安全封裝、記憶體載入、加密 payload","CargoPlan","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","1","vite","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","2","esbuild","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","3","rollup","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","4","terser","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","5","postcss","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","6","autoprefixer","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","7","svgo","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","8","sharp","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","9","eslint","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Node Build Tooling","Node","10","prettier","前端打包、壓縮、SVG 優化、格式化","NpmLocal","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","1","CSS Grid","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","2","Flexbox","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","3","Container Queries","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","4","CSS Variables","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","5","CSS Clamp","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","6","CSS Subgrid","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","7","CSS Animations","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","8","CSS Layers","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","9","CSS Scroll Snap","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"CSS Layout Engine","CSS","10","CSS Anchor Positioning","不可重疊、自適應、動畫、功能鍵視覺化","BuiltInOrLocalAsset","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","1","Playwright","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","2","Vitest","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","3","Jest","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","4","Puppeteer","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","5","Lighthouse","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","6","axe-core","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","7","PSScriptAnalyzer","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","8","Pester","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","9","pytest","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Testing Debug Optimize","Mixed","10","ruff","UI 測試、可用性、效能、語法、回歸檢查","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","1","Mermaid","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","2","Markmap","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","3","Docusaurus","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","4","MkDocs","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","5","Jinja2","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","6","PSWriteHTML","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","7","Tabulator","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","8","DataTables","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","9","Prism.js","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
"Local Documentation Report","Mixed","10","Highlight.js","矩陣報告、流程圖、文件化、可視化審計","PlanOnly","LOW","Free/Open-source candidate; verify license before commercial redistribution"
