"Time","Round","Flow","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-10 12:38:07","Round2","MOPS_COMPANY_PROFILE_GATE","BLOCKED","VDF_TW_FinancialStatement","OK_BLOCKED","MEDIUM","SEQUENTIAL_DEFERRED","P3","GATE_ONLY","policy","blocked","FinancialStatement remains blocked until CompanyProfile gate succeeds.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_FinancialStatement.csv"
"2026-06-10 12:38:07","Round2","MOPS_COMPANY_PROFILE_GATE","BLOCKED","VDF_TW_FinancialRatio","OK_BLOCKED","MEDIUM","SEQUENTIAL_DEFERRED","P3","GATE_ONLY","policy","blocked","FinancialRatio remains blocked until FinancialStatement seal exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE\VDF_TW_FinancialRatio.csv"
"2026-06-10 12:38:07","Round2","FRED_AKSHARE_CAPABILITY","SCOPE_LOCK","Global Macro / Commodity / Freight / FX","OK_SCOPE_LOCKED","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","policy","probe_only","Only local package/API-key capability probe is allowed in v024. No broad data fetch.",""
"2026-06-10 12:38:07","Round3","CAPABILITY_PROBE","PYTHON_PROBE","vdf_three_deferred_flow_capability_probe_v024.py","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","exists_sha256","9E027CDDE0B62C734309C1E9E74895FC88EB15244B6FCCCCFF96FAED4952F907","File exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_THREE_DEFERRED_FLOW_SYNC_GATE_v024_20260610_123806\runtime\vdf_three_deferred_flow_capability_probe_v024.py"
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PYTHON_PROBE","local capability probe","OK_PROBE_EXECUTED","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","execute","ok","{""status"": ""VDF_THREE_DEFERRED_FLOW_CAPABILITY_PROBE_READY"", ""risk"": ""LOW"", ""missing"": [], ""fred_api_key_exists"": true}","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_THREE_DEFERRED_FLOW_SYNC_GATE_v024_20260610_123806\runtime\vdf_three_deferred_flow_capability_probe_v024.py"
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PYTHON_RESULT","vdf_three_deferred_flow_capability_probe_result_v024.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_THREE_DEFERRED_FLOW_SYNC_GATE_v024_20260610_123806\runtime\vdf_three_deferred_flow_capability_probe_result_v024.json"
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","requests","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","pandas","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","pyarrow","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","duckdb","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","pandas_datareader","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","fredapi","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","akshare","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","bs4","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","lxml","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","PACKAGE","openpyxl","OK_AVAILABLE","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","import_spec","available","Package is locally available.",""
"2026-06-10 12:38:07","Round3","FRED_AKSHARE_CAPABILITY","API_KEY","FRED API key","OK_KEY_EXISTS","LOW","PARALLEL_SAFE","P1","CAPABILITY_ONLY","env_key","exists","FRED API key exists in environment.",""
"2026-06-10 12:38:07","Round4","CONSOLIDATE","LOCAL_FREE_LIBS","VDF_Top10_LocalFreeLibs_ThreeDeferredFlow_v024.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_THREE_DEFERRED_FLOW_SYNC_GATE_v024_20260610_123806\registry\VDF_Top10_LocalFreeLibs_ThreeDeferredFlow_v024.json"
"2026-06-10 12:38:07","Round4","CONSOLIDATE","GATE_PLAN","VDF_ThreeDeferredFlow_GatePlan_v024.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_THREE_DEFERRED_FLOW_SYNC_GATE_v024_20260610_123806\plan\VDF_ThreeDeferredFlow_GatePlan_v024.json"
"2026-06-10 12:38:07","Round4","CONSOLIDATE","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","update","complete","Active pointer updated with v024 three-deferred-flow sync gate.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
