family,subgroup,Code,supplied_name,official_name,market,yf_ticker,industry,existing_finegroup,code_name_status,review_action,proposed_primary_finegroup,proposed_secondary_tags,review_rationale
specialty_chemicals,wet_process,1773,勝一,勝一,TWSE,1773.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,wet_process,4755,三福化,三福化,TWSE,4755.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,wet_process,1727,中華化,中華化,TWSE,1727.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,wet_process,4739,康普,康普,TWSE,4739.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,wet_process,1711,永光,永光,TWSE,1711.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,wet_process,5234,達興材料,達興材料,TWSE,5234.TW,26.0,半導體材料,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,wet_process,1717,長興,長興,TWSE,1717.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,wet_process,4722,國精化,國精化,TWSE,4722.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,photocuring_additives,4764,雙鍵,雙鍵,TWSE,4764.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,photocuring_additives,1721,三晃,三晃,TWSE,1721.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,special_materials,4768,晶呈科技,晶呈科技股份有限公司,TPEX,4768.TWO,21.0,,NAME_LIKELY_MATCH,PRIMARY_PLUS_TAG,半導體材料,specialty_chemicals:substrate_manufacturing|specialty_chemicals:special_materials,Appears in two supplied subgroups; choose one primary and retain both chain roles as tags.
specialty_chemicals,special_materials,1785,光洋科,光洋應用材料科技股份有限公司,TPEX,1785.TWO,31.0,,OFFICIAL_NAME_AVAILABLE,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,special_materials,8070,長華*,長華*,TWSE,8070.TW,29.0,,NAME_LIKELY_MATCH,TAG_ONLY,,specialty_chemicals:special_materials|electronics_distribution,User role overlaps materials and distribution; keep one existing primary after business/revenue check.
specialty_chemicals,special_materials,4766,南寶,南寶,TWSE,4766.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,special_materials,4720,德淵,德淵,TWSE,4720.TW,21.0,,NAME_LIKELY_MATCH,SECONDARY_TAG_OR_MANUAL_REVIEW,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,distribution,5434,崇越,崇越,TWSE,5434.TW,29.0,電子通路,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
specialty_chemicals,distribution,3010,華立,華立,TWSE,3010.TW,29.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_ELECTRONIC_DISTRIBUTION,電子通路,specialty_chemicals:distribution,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2855,統一證,統一證,TWSE,2855.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2883,凱基金,凱基金,TWSE,2883.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2887,台新金,台新新光金,TWSE,2887.TW,17.0,,OFFICIAL_NAME_AVAILABLE,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,6016,康和證,康和綜合證券股份有限公司,TPEX,6016.TWO,17.0,,OFFICIAL_NAME_AVAILABLE,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,6005,群益證,群益證,TWSE,6005.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2882,國泰金,國泰金,TWSE,2882.TW,17.0,金融,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2880,華南金,華南金,TWSE,2880.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2891,中信金,中信金,TWSE,2891.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2885,元大金,元大金,TWSE,2885.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2890,永豐金,永豐金,TWSE,2890.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2881,富邦金,富邦金,TWSE,2881.TW,17.0,金融,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2892,第一金,第一金,TWSE,2892.TW,17.0,,NAME_LIKELY_MATCH,ADD_PRIMARY_FINANCIALS,金融,traditional_industries:financials,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,financials,2886,兆豐金,兆豐金,TWSE,2886.TW,17.0,金融,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,heavy_electricity,8996,高力,高力,TWSE,8996.TW,5.0,,NAME_LIKELY_MATCH,KEEP_EXISTING_DOMAIN,AI散熱與風扇模組,traditional_industries:heavy_electricity,High力 is a cooling/heat-exchange exposure in the existing taxonomy; do not move primary group to heavy electricity.
traditional_industries,heavy_electricity,1503,士電,士電,TWSE,1503.TW,5.0,重電與電網設備,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,heavy_electricity,1513,中興電,中興電,TWSE,1513.TW,5.0,重電與電網設備,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,heavy_electricity,1519,華城,華城,TWSE,1519.TW,5.0,重電與電網設備,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,heavy_electricity,1605,華新,華新,TWSE,1605.TW,6.0,,NAME_LIKELY_MATCH,ADD_PRIMARY,電線電纜與電力材料,traditional_industries:heavy_electricity,Official industry code 06 and user heavy-electricity role support a separate cable/power-material primary.
traditional_industries,heavy_electricity,1609,大亞,大亞,TWSE,1609.TW,6.0,,NAME_LIKELY_MATCH,ADD_PRIMARY,電線電纜與電力材料,traditional_industries:heavy_electricity,Official industry code 06 and user heavy-electricity role support a cable/power-material primary.
traditional_industries,heavy_electricity,1514,亞力,亞力,TWSE,1514.TW,5.0,重電與電網設備,NAME_LIKELY_MATCH,PRIMARY_ALREADY_CANONICAL,,,Do not overwrite canonical; use one primary FineGroup plus a secondary chain tag pending source verification.
traditional_industries,heavy_electricity,1612,宏泰,宏泰,TWSE,1612.TW,6.0,,NAME_LIKELY_MATCH,ADD_PRIMARY,電線電纜與電力材料,traditional_industries:heavy_electricity,Official industry code 06 and user heavy-electricity role support a cable/power-material primary.
traditional_industries,heavy_electricity,4588,玖鼎電力,玖鼎電力,TWSE,4588.TW,31.0,,NAME_LIKELY_MATCH,ADD_PRIMARY,重電與電網設備,traditional_industries:heavy_electricity,Power-equipment role is consistent with the user group; add after data-history check.
traditional_industries,heavy_electricity,1608,華榮,華榮,TWSE,1608.TW,6.0,,NAME_LIKELY_MATCH,ADD_PRIMARY,電線電纜與電力材料,traditional_industries:heavy_electricity,Official industry code 06 and user heavy-electricity role support a cable/power-material primary.
