"Flow","Lang","FunctionArea","Rank","Name","Install","UseCase","RiskNote"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","5","HtmlAgilityPack","dotnet add package HtmlAgilityPack","HTML parsing","Project needed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","6","PSReadLine","Install-Module PSReadLine -Scope CurrentUser -Force","Interactive CLI productivity","May already exist"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","6","networkx","python -m pip install networkx","Graph/path/process relation analysis","Complements PM4Py"
"01_Panorama_Discovery","Python","EnterpriseFormReading","6","pymupdf","python -m pip install pymupdf","PDF rendering/text/image extraction","Fast"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","6","vitest","npm install -g vitest","JS/TS test runner","Project config needed"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","6","CsvHelper","dotnet add package CsvHelper","CSV IO","Project needed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","7","CompletionPredictor","Install-Module CompletionPredictor -Scope CurrentUser -Force","Command prediction accelerator","Optional"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","7","pandera","python -m pip install pandera","Dataframe schema validation","Optional but useful"
"01_Panorama_Discovery","Python","EnterpriseFormReading","7","camelot-py","python -m pip install camelot-py","PDF table extraction","Needs ghostscript/opencv depending flavor"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","7","mermaid","npm install -g @mermaid-js/mermaid-cli","Process diagrams","May need chromium"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","7","ClosedXML","dotnet add package ClosedXML","Excel IO","Project needed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","8","SecretManagement","Install-Module Microsoft.PowerShell.SecretManagement -Scope CurrentUser -Force","Secret abstraction","Do not print secrets"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","8","great_expectations","python -m pip install great_expectations","Data quality validation","Heavier"
"01_Panorama_Discovery","Python","EnterpriseFormReading","8","tabula-py","python -m pip install tabula-py","Java Tabula wrapper for tables","Needs Java"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","8","marked","npm install -g marked","Markdown conversion/rendering","Optional"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","8","QuestPDF","dotnet add package QuestPDF","PDF generation/reporting","License constraints should be reviewed"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","9","SecretStore","Install-Module Microsoft.PowerShell.SecretStore -Scope CurrentUser -Force","Local secret vault","Needs setup"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","9","rich","python -m pip install rich","Console progress/table UX","Lightweight UX"
"01_Panorama_Discovery","Python","EnterpriseFormReading","9","opencv-python","python -m pip install opencv-python","Image preprocessing/layout/cv","May be heavy"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","9","d3","npm install d3","Visualization library","Per project"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","9","Microsoft.Playwright","dotnet add package Microsoft.Playwright","Browser UI tests","Install browsers separately"
"01_Panorama_Discovery","PowerShell","Orchestration_Check_Test_Repair","10","WinGet.Client","Install-Module WinGet.Client -Scope CurrentUser -Force","Package manager bridge","Optional"
"01_Panorama_Discovery","Python","ETL_ProcessMining_DocAI","10","tqdm","python -m pip install tqdm","Progress bars","Lightweight"
"01_Panorama_Discovery","Python","EnterpriseFormReading","10","unstructured","python -m pip install unstructured","Document partitioning pipeline","Heavy; pin versions if needed"
"01_Panorama_Discovery","JS_TS","UI_Test_Visualization","10","cytoscape","npm install cytoscape","Graph/network visualization","Per project"
"01_Panorama_Discovery","CSharp","Windows_App_Testing_IO","10","CliWrap","dotnet add package CliWrap","External process wrapper","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","1","PSScriptAnalyzer","Install-Module PSScriptAnalyzer -Scope CurrentUser -Force","PowerShell static analysis, AST lint, fixable findings","Run after parse clean"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","1","pandas","python -m pip install pandas","Tabular ETL, event-log shaping","Stable core"
"02_Command_Forensics","Python","EnterpriseFormReading","1","docling","python -m pip install docling","PDF/DOCX/PPTX/image conversion, layout/table/OCR pipeline","Heavy; install only in sandbox env"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","1","typescript","npm install -g typescript","Type checking","Global optional"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","1","xunit","dotnet add package xunit","C# unit testing","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","2","Pester","Install-Module Pester -Scope CurrentUser -Force","PowerShell unit/integration tests","Needs tests to exist"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","2","polars","python -m pip install polars","Fast low-memory dataframe engine","Great for large logs"
"02_Command_Forensics","Python","EnterpriseFormReading","2","paddleocr","python -m pip install paddleocr","OCR and PP-Structure document parsing","Heavy; model downloads"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","2","eslint","npm install -g eslint","JS/TS lint","Config needed"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","2","NUnit","dotnet add package NUnit","C# unit testing","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","3","PSWriteHTML","Install-Module PSWriteHTML -Scope CurrentUser -Force","Detailed HTML dashboards/reports","Optional; fallback HTML exists"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","3","duckdb","python -m pip install duckdb","Local OLAP, parquet/sql analytics","Excellent local DB"
"02_Command_Forensics","Python","EnterpriseFormReading","3","ocrmypdf","python -m pip install ocrmypdf","Searchable PDFs with OCR layer","Needs Tesseract/Ghostscript"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","3","prettier","npm install -g prettier","Formatter","Config needed"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","3","FluentAssertions","dotnet add package FluentAssertions","Readable assertions","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","4","ImportExcel","Install-Module ImportExcel -Scope CurrentUser -Force","XLSX output for review matrices","Optional"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","4","pyarrow","python -m pip install pyarrow","Parquet/Arrow interchange","Needed for parquet"
"02_Command_Forensics","Python","EnterpriseFormReading","4","pytesseract","python -m pip install pytesseract","Tesseract Python wrapper","Needs Tesseract binary"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","4","vite","npm install -g vite","Fast UI dev server/build","Optional"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","4","Serilog","dotnet add package Serilog","Structured logs","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","5","PSFramework","Install-Module PSFramework -Scope CurrentUser -Force","Structured logging","Optional"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","5","pm4py","python -m pip install pm4py","Process mining algorithms/event logs","Core process mining"
"02_Command_Forensics","Python","EnterpriseFormReading","5","pdfplumber","python -m pip install pdfplumber","PDF text/table extraction","Good for digital PDFs"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","5","playwright","npm install -g playwright","Browser UI testing","Needs browser install"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","5","HtmlAgilityPack","dotnet add package HtmlAgilityPack","HTML parsing","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","6","PSReadLine","Install-Module PSReadLine -Scope CurrentUser -Force","Interactive CLI productivity","May already exist"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","6","networkx","python -m pip install networkx","Graph/path/process relation analysis","Complements PM4Py"
"02_Command_Forensics","Python","EnterpriseFormReading","6","pymupdf","python -m pip install pymupdf","PDF rendering/text/image extraction","Fast"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","6","vitest","npm install -g vitest","JS/TS test runner","Project config needed"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","6","CsvHelper","dotnet add package CsvHelper","CSV IO","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","7","CompletionPredictor","Install-Module CompletionPredictor -Scope CurrentUser -Force","Command prediction accelerator","Optional"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","7","pandera","python -m pip install pandera","Dataframe schema validation","Optional but useful"
"02_Command_Forensics","Python","EnterpriseFormReading","7","camelot-py","python -m pip install camelot-py","PDF table extraction","Needs ghostscript/opencv depending flavor"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","7","mermaid","npm install -g @mermaid-js/mermaid-cli","Process diagrams","May need chromium"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","7","ClosedXML","dotnet add package ClosedXML","Excel IO","Project needed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","8","SecretManagement","Install-Module Microsoft.PowerShell.SecretManagement -Scope CurrentUser -Force","Secret abstraction","Do not print secrets"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","8","great_expectations","python -m pip install great_expectations","Data quality validation","Heavier"
"02_Command_Forensics","Python","EnterpriseFormReading","8","tabula-py","python -m pip install tabula-py","Java Tabula wrapper for tables","Needs Java"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","8","marked","npm install -g marked","Markdown conversion/rendering","Optional"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","8","QuestPDF","dotnet add package QuestPDF","PDF generation/reporting","License constraints should be reviewed"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","9","SecretStore","Install-Module Microsoft.PowerShell.SecretStore -Scope CurrentUser -Force","Local secret vault","Needs setup"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","9","rich","python -m pip install rich","Console progress/table UX","Lightweight UX"
"02_Command_Forensics","Python","EnterpriseFormReading","9","opencv-python","python -m pip install opencv-python","Image preprocessing/layout/cv","May be heavy"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","9","d3","npm install d3","Visualization library","Per project"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","9","Microsoft.Playwright","dotnet add package Microsoft.Playwright","Browser UI tests","Install browsers separately"
"02_Command_Forensics","PowerShell","Orchestration_Check_Test_Repair","10","WinGet.Client","Install-Module WinGet.Client -Scope CurrentUser -Force","Package manager bridge","Optional"
"02_Command_Forensics","Python","ETL_ProcessMining_DocAI","10","tqdm","python -m pip install tqdm","Progress bars","Lightweight"
"02_Command_Forensics","Python","EnterpriseFormReading","10","unstructured","python -m pip install unstructured","Document partitioning pipeline","Heavy; pin versions if needed"
"02_Command_Forensics","JS_TS","UI_Test_Visualization","10","cytoscape","npm install cytoscape","Graph/network visualization","Per project"
"02_Command_Forensics","CSharp","Windows_App_Testing_IO","10","CliWrap","dotnet add package CliWrap","External process wrapper","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","1","PSScriptAnalyzer","Install-Module PSScriptAnalyzer -Scope CurrentUser -Force","PowerShell static analysis, AST lint, fixable findings","Run after parse clean"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","1","pandas","python -m pip install pandas","Tabular ETL, event-log shaping","Stable core"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","1","docling","python -m pip install docling","PDF/DOCX/PPTX/image conversion, layout/table/OCR pipeline","Heavy; install only in sandbox env"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","1","typescript","npm install -g typescript","Type checking","Global optional"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","1","xunit","dotnet add package xunit","C# unit testing","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","2","Pester","Install-Module Pester -Scope CurrentUser -Force","PowerShell unit/integration tests","Needs tests to exist"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","2","polars","python -m pip install polars","Fast low-memory dataframe engine","Great for large logs"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","2","paddleocr","python -m pip install paddleocr","OCR and PP-Structure document parsing","Heavy; model downloads"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","2","eslint","npm install -g eslint","JS/TS lint","Config needed"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","2","NUnit","dotnet add package NUnit","C# unit testing","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","3","PSWriteHTML","Install-Module PSWriteHTML -Scope CurrentUser -Force","Detailed HTML dashboards/reports","Optional; fallback HTML exists"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","3","duckdb","python -m pip install duckdb","Local OLAP, parquet/sql analytics","Excellent local DB"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","3","ocrmypdf","python -m pip install ocrmypdf","Searchable PDFs with OCR layer","Needs Tesseract/Ghostscript"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","3","prettier","npm install -g prettier","Formatter","Config needed"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","3","FluentAssertions","dotnet add package FluentAssertions","Readable assertions","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","4","ImportExcel","Install-Module ImportExcel -Scope CurrentUser -Force","XLSX output for review matrices","Optional"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","4","pyarrow","python -m pip install pyarrow","Parquet/Arrow interchange","Needed for parquet"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","4","pytesseract","python -m pip install pytesseract","Tesseract Python wrapper","Needs Tesseract binary"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","4","vite","npm install -g vite","Fast UI dev server/build","Optional"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","4","Serilog","dotnet add package Serilog","Structured logs","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","5","PSFramework","Install-Module PSFramework -Scope CurrentUser -Force","Structured logging","Optional"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","5","pm4py","python -m pip install pm4py","Process mining algorithms/event logs","Core process mining"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","5","pdfplumber","python -m pip install pdfplumber","PDF text/table extraction","Good for digital PDFs"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","5","playwright","npm install -g playwright","Browser UI testing","Needs browser install"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","5","HtmlAgilityPack","dotnet add package HtmlAgilityPack","HTML parsing","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","6","PSReadLine","Install-Module PSReadLine -Scope CurrentUser -Force","Interactive CLI productivity","May already exist"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","6","networkx","python -m pip install networkx","Graph/path/process relation analysis","Complements PM4Py"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","6","pymupdf","python -m pip install pymupdf","PDF rendering/text/image extraction","Fast"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","6","vitest","npm install -g vitest","JS/TS test runner","Project config needed"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","6","CsvHelper","dotnet add package CsvHelper","CSV IO","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","7","CompletionPredictor","Install-Module CompletionPredictor -Scope CurrentUser -Force","Command prediction accelerator","Optional"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","7","pandera","python -m pip install pandera","Dataframe schema validation","Optional but useful"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","7","camelot-py","python -m pip install camelot-py","PDF table extraction","Needs ghostscript/opencv depending flavor"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","7","mermaid","npm install -g @mermaid-js/mermaid-cli","Process diagrams","May need chromium"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","7","ClosedXML","dotnet add package ClosedXML","Excel IO","Project needed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","8","SecretManagement","Install-Module Microsoft.PowerShell.SecretManagement -Scope CurrentUser -Force","Secret abstraction","Do not print secrets"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","8","great_expectations","python -m pip install great_expectations","Data quality validation","Heavier"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","8","tabula-py","python -m pip install tabula-py","Java Tabula wrapper for tables","Needs Java"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","8","marked","npm install -g marked","Markdown conversion/rendering","Optional"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","8","QuestPDF","dotnet add package QuestPDF","PDF generation/reporting","License constraints should be reviewed"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","9","SecretStore","Install-Module Microsoft.PowerShell.SecretStore -Scope CurrentUser -Force","Local secret vault","Needs setup"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","9","rich","python -m pip install rich","Console progress/table UX","Lightweight UX"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","9","opencv-python","python -m pip install opencv-python","Image preprocessing/layout/cv","May be heavy"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","9","d3","npm install d3","Visualization library","Per project"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","9","Microsoft.Playwright","dotnet add package Microsoft.Playwright","Browser UI tests","Install browsers separately"
"03_Toolchain_Bootstrap","PowerShell","Orchestration_Check_Test_Repair","10","WinGet.Client","Install-Module WinGet.Client -Scope CurrentUser -Force","Package manager bridge","Optional"
"03_Toolchain_Bootstrap","Python","ETL_ProcessMining_DocAI","10","tqdm","python -m pip install tqdm","Progress bars","Lightweight"
"03_Toolchain_Bootstrap","Python","EnterpriseFormReading","10","unstructured","python -m pip install unstructured","Document partitioning pipeline","Heavy; pin versions if needed"
"03_Toolchain_Bootstrap","JS_TS","UI_Test_Visualization","10","cytoscape","npm install cytoscape","Graph/network visualization","Per project"
"03_Toolchain_Bootstrap","CSharp","Windows_App_Testing_IO","10","CliWrap","dotnet add package CliWrap","External process wrapper","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","1","PSScriptAnalyzer","Install-Module PSScriptAnalyzer -Scope CurrentUser -Force","PowerShell static analysis, AST lint, fixable findings","Run after parse clean"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","1","pandas","python -m pip install pandas","Tabular ETL, event-log shaping","Stable core"
"04_Sandbox_Test","Python","EnterpriseFormReading","1","docling","python -m pip install docling","PDF/DOCX/PPTX/image conversion, layout/table/OCR pipeline","Heavy; install only in sandbox env"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","1","typescript","npm install -g typescript","Type checking","Global optional"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","1","xunit","dotnet add package xunit","C# unit testing","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","2","Pester","Install-Module Pester -Scope CurrentUser -Force","PowerShell unit/integration tests","Needs tests to exist"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","2","polars","python -m pip install polars","Fast low-memory dataframe engine","Great for large logs"
"04_Sandbox_Test","Python","EnterpriseFormReading","2","paddleocr","python -m pip install paddleocr","OCR and PP-Structure document parsing","Heavy; model downloads"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","2","eslint","npm install -g eslint","JS/TS lint","Config needed"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","2","NUnit","dotnet add package NUnit","C# unit testing","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","3","PSWriteHTML","Install-Module PSWriteHTML -Scope CurrentUser -Force","Detailed HTML dashboards/reports","Optional; fallback HTML exists"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","3","duckdb","python -m pip install duckdb","Local OLAP, parquet/sql analytics","Excellent local DB"
"04_Sandbox_Test","Python","EnterpriseFormReading","3","ocrmypdf","python -m pip install ocrmypdf","Searchable PDFs with OCR layer","Needs Tesseract/Ghostscript"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","3","prettier","npm install -g prettier","Formatter","Config needed"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","3","FluentAssertions","dotnet add package FluentAssertions","Readable assertions","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","4","ImportExcel","Install-Module ImportExcel -Scope CurrentUser -Force","XLSX output for review matrices","Optional"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","4","pyarrow","python -m pip install pyarrow","Parquet/Arrow interchange","Needed for parquet"
"04_Sandbox_Test","Python","EnterpriseFormReading","4","pytesseract","python -m pip install pytesseract","Tesseract Python wrapper","Needs Tesseract binary"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","4","vite","npm install -g vite","Fast UI dev server/build","Optional"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","4","Serilog","dotnet add package Serilog","Structured logs","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","5","PSFramework","Install-Module PSFramework -Scope CurrentUser -Force","Structured logging","Optional"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","5","pm4py","python -m pip install pm4py","Process mining algorithms/event logs","Core process mining"
"04_Sandbox_Test","Python","EnterpriseFormReading","5","pdfplumber","python -m pip install pdfplumber","PDF text/table extraction","Good for digital PDFs"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","5","playwright","npm install -g playwright","Browser UI testing","Needs browser install"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","5","HtmlAgilityPack","dotnet add package HtmlAgilityPack","HTML parsing","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","6","PSReadLine","Install-Module PSReadLine -Scope CurrentUser -Force","Interactive CLI productivity","May already exist"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","6","networkx","python -m pip install networkx","Graph/path/process relation analysis","Complements PM4Py"
"04_Sandbox_Test","Python","EnterpriseFormReading","6","pymupdf","python -m pip install pymupdf","PDF rendering/text/image extraction","Fast"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","6","vitest","npm install -g vitest","JS/TS test runner","Project config needed"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","6","CsvHelper","dotnet add package CsvHelper","CSV IO","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","7","CompletionPredictor","Install-Module CompletionPredictor -Scope CurrentUser -Force","Command prediction accelerator","Optional"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","7","pandera","python -m pip install pandera","Dataframe schema validation","Optional but useful"
"04_Sandbox_Test","Python","EnterpriseFormReading","7","camelot-py","python -m pip install camelot-py","PDF table extraction","Needs ghostscript/opencv depending flavor"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","7","mermaid","npm install -g @mermaid-js/mermaid-cli","Process diagrams","May need chromium"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","7","ClosedXML","dotnet add package ClosedXML","Excel IO","Project needed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","8","SecretManagement","Install-Module Microsoft.PowerShell.SecretManagement -Scope CurrentUser -Force","Secret abstraction","Do not print secrets"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","8","great_expectations","python -m pip install great_expectations","Data quality validation","Heavier"
"04_Sandbox_Test","Python","EnterpriseFormReading","8","tabula-py","python -m pip install tabula-py","Java Tabula wrapper for tables","Needs Java"
"04_Sandbox_Test","JS_TS","UI_Test_Visualization","8","marked","npm install -g marked","Markdown conversion/rendering","Optional"
"04_Sandbox_Test","CSharp","Windows_App_Testing_IO","8","QuestPDF","dotnet add package QuestPDF","PDF generation/reporting","License constraints should be reviewed"
"04_Sandbox_Test","PowerShell","Orchestration_Check_Test_Repair","9","SecretStore","Install-Module Microsoft.PowerShell.SecretStore -Scope CurrentUser -Force","Local secret vault","Needs setup"
"04_Sandbox_Test","Python","ETL_ProcessMining_DocAI","9","rich","python -m pip install rich","Console progress/table UX","Lightweight UX"
"04_Sandbox_Test","Python","EnterpriseFormReading","9","opencv-python","python -m pip install opencv-python","Image preprocessing/layout/cv","May be heavy"
