"def_priority","def_gate","def_owner_engine","def_domain_family","def_normalized_key","def_distinct_values","def_recommended_decision","def_hydra_risk","def_source_mutation","def_sample_values","def_sample_files"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","YFinanceTickerTPEX","17","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""1319.TWO"" || ""1560.TWO"" || ""1590.TWO"" || ""2308.TWO"" || ""2383.TWO"" || ""3231.TWO""","VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json; VRN_MDL126_VRN_AliasHygiene_FalsePositiveFix_v0102__SUPPORT_RULE__v0102.json; VRN_MDL127_VRN_AliasHygiene_SingleFileRerunManifest__SUPPORT_RULE__v0_0.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","YFinanceTickerTWSE","17","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""1319.TW"" || ""1560.TW"" || ""1590.TW"" || ""2308.TW"" || ""2383.TW"" || ""3231.TW""","VRN_MDL100_VRN_Complete_ProjectDryRun__MODULE__v0_0.json; VRN_MDL126_VRN_AliasHygiene_FalsePositiveFix_v0102__SUPPORT_RULE__v0102.json; VRN_MDL127_VRN_AliasHygiene_SingleFileRerunManifest__SUPPORT_RULE__v0_0.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","schema_first_12_json","16","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ak_key\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ak... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""cl... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""fi... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""via_code\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""... || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}]"" || ""[{\""Ordinal\"": 1, \""ColumnName\"": \""date\"", \""DataType\"": \""DATE\""}, {\""Ordinal\"": 2, \""ColumnName\"": \""ticker\"", \""DataType\"": \""VARCHAR\""}, {\""Ordinal\"": 3, \""ColumnName\"": \""ma...","VRN_MDL272_VRN_v140K_BasicInfo_FinancialData_Sidecar_Sync__BASICINFO__v140K.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","tw_ticker","15","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","{ || r.get(bt,"""") if bt else """" || bi.get(""tw_ticker"","""") || r.get(""tw_ticker"","""") || """" || r.get(basic_ticker_col, """") if basic_ticker_col else """"","SSOT_VIA_VisualDesignOps_20260617 (1).json; SSOT_VIA_VisualDesignOps_20260617.json; via_dual_sixlane_worker_v029dual1b.py; vrn_financialdata_staging_extraction_store_v029vrn1d.py; VRN_MDL273_VRN_v140H_ReadOnly_Production_Verify__MODULE__v140H.json; VRN_MDL274_SOURCE_VRN_v140G_Production_DuckDB_Commit_Final_Seal__BASICINFO__v140G.json; VRN_MDL275_VRN_v140G_Production_DuckDB_Commit_Final_Seal__GOVERNANCE__v140G.json; VRN_MDL276_VRN_v140D_Sandbox_DuckDB_Writer_Gate__MODULE__v140D.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","yfinance_ticker","14","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""All TW_Yfinance_Ticker"" || ""TW_Index_Yfinance_Ticker"" || ""YfinanceTicker when available"" || ""YfinanceTicker when applicable"" || ""1101.TW"" || ""1102.TW""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VRN_MDL273_VRN_v140H_ReadOnly_Production_Verify__MODULE__v140H.json; VRN_MDL274_SOURCE_VRN_v140G_Production_DuckDB_Commit_Final_Seal__BASICINFO__v140G.json; VRN_MDL275_VRN_v140G_Production_DuckDB_Commit_Final_Seal__GOVERNANCE__v140G.json; VRN_MDL276_VRN_v140D_Sandbox_DuckDB_Writer_Gate__MODULE__v140D.json; VRN_MDL006_ConsolidatorAndPhaseValidator.py; VRN_MDL007_APIDataFetcher.py"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","DATA_SOURCE_CONTRACT","fred","13","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","{ || ""環境變數 FRED_API_KEY"" || {""enabled"": True,  ""api_key"": """", ""timeout_sec"": 30, ""retries"": 3} || [ || DGS10"":     df_with_value_column || DCOILWTICO"": df","params.example (1).json; params.example (2).json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; VIA_data_manifest (1).json; VIA_data_manifest (2).json; VIA_data_manifest.json; via_param_manager (1).py; vdf_pending_triflow_env_probe_result_v0203.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","tw_yfinance_ticker","11","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""{TW_TICKER}.TW or {TW_TICKER}.TWO"" || ""6669.TW"" || ""1101.TW"" || ""1102.TW"" || ""1103.TW"" || ""1104.TW""","VRN_ACTIVE_STAGE_POINTER_CANDIDATE_v029SSOT1B.json; vrn_unified_ssot_builder_v029ssot1b.py; VRN_MDL044_VRN_v141A_ReadOnly_Consumer_Loader__MODULE__v141A.json; VRN_MDL112_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__BASICINFO__v140M.json; VRN_MDL113_VRN_v140M_Dashboard_ReadOnly_Launch_Pack__REPORT__v140M.json; VRN_MDL114_VRN_v140L_Route_Verify_Dashboard_Readiness__REPORT__v140L.json; VRN_MDL115_source_v140L_route_verify__BASICINFO__v140L.json; VRN_MDL116_VRN_v140L_Route_Verify_Dashboard_Readiness__REPORT__v140L.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_mn_twd","10","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","933 || 885 || 941 || 891 || 960 || 899","VRN_MDL031_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json; VRN_MDL032_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json; VRN_MDL164_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json; VRN_MDL165_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json; VRN_MDL166_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json; VRN_MDL167_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json; VRN_MDL168_vrn_final_integration_resolver_v0567__MODULE__v0567.json; VRN_MDL169_vrn_final_integration_resolver_v0567__GOVERNANCE__v0567.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","DATA_SOURCE_CONTRACT","timezone_policy","10","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","timezone_policy = ""LOCAL_AS_IS"" || timezone_policy = ""ASIA_TAIPEI"" || timezone_policy = ""US_TO_TAIPEI_SHIFT_PLUS_1"" || timezone_policy = ""SOURCE_TIMEZONE_TO_TAIPEI"" || timezone_policy || r.get(""timezone_policy"", ""LOCAL_AS_IS"")","vap_warehouse_v4_builder.py; vap_warehouse_v5_next3_builder.py; vap_warehouse_v5_next3_payload.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","DATA_SOURCE_CONTRACT","HardGate","10","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""TWSE v018 manifest exists; rows >= 2460; CSV/JSON/Parquet/DuckDB exist."" || ""Do not execute all 20 paths. Select one quote/list endpoint first."" || ""First safe table = VDF_TW_MonthlyRevenue."" || ""MonthlyRevenue seal must exist first."" || ""FRED_API_KEY exists; package env ready."" || ""Capability probe seal must exist first.""","VDF_RemainingMegaFlow_ExecutionQueue_v0204.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","schema_csv","9","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\RUN_20260526_220104_VRN_V141A_READONLY_CONSUMER_LOADER\\VRN_v141A_Consumer_Loader_... || OUT_SCHEMA_CSV || str(run_dir / ""vrn_post_commit_schema_v0615721.csv"") || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\RUN_20260526_202858_VRN_V140L_ROUTE_VERIFY_DASHBOARD_READINESS\\VRN_v140L_Table_Sc... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\_vrn_operation_ui_runs\\VRN_POST_COMMIT_PRODUCTION_SEAL_V0615721_20260523_235836\\vrn_post_commit_schema_v06... || ""C:\\Users\\tonyk\\OneDrive\\VeritasIntelligenceAnalytics\\module\\VRN\\output\\_route_lock_runs\\RUN_20260526_193326_VRN_V140H_READONLY_PRODUCTION_VERIFY\\VRN_v140H_Production_Tab...","VRN_MDL044_VRN_v141A_ReadOnly_Consumer_Loader__MODULE__v141A.json; VRN_MDL084_VRN_v141A_ReadOnly_Consumer_Loader__MODULE__v141A.py; VRN_MDL092_vrn_post_commit_production_seal_v0615721__GOVERNANCE__v0615721.py; VRN_MDL114_VRN_v140L_Route_Verify_Dashboard_Readiness__REPORT__v140L.json; VRN_MDL115_source_v140L_route_verify__BASICINFO__v140L.json; VRN_MDL116_VRN_v140L_Route_Verify_Dashboard_Readiness__REPORT__v140L.json; VRN_MDL135_VRN_v140B3_CSV_CaseSafe_Auditor__GOVERNANCE__v140B3.py; VRN_MDL201_vrn_post_commit_production_seal_v0615721__GOVERNANCE__v0615721.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","TW_YFINANCE_REGEX","9","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","TW_YFINANCE_REGEX  = r""[1-9]\d{3}\.(TW|TWO)"" || TW_YFINANCE_REGEX   = XXXX.TW / XXXX.TWO format || TW_YFINANCE_REGEX  = r""^([1-9]\d{3})\.(TW|TWO)$"" || TW_YFINANCE_REGEX  = re.compile(r""\b[1-9]\d{3}\.(TW|TWO)\b"") || TW_YFINANCE_REGEX   = r""([1-9]\d{3})\.(TW|TWO)"" || TW_YFINANCE_REGEX  = r""([1-9]\d{3})\.(TW|TWO)""","vap_config.py; VDF_MDL001_TWUniverseVerify.py; VDF_MDL002_YFinanceFetchingEngine.py; VDF_MDL004_TWFullMarketEngine.py; VDF_MDL007_SSOTResolver.py; VDF_MDL201_GenerateFullRegistry.py; VDF_MDL402_RegistrySample.json; VDF_MDL403_RegistryFull.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","DATA_SOURCE_CONTRACT","akshare","9","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","{ || {""enabled"": True,  ""timeout_sec"": 45, ""retries"": 3} || true || [ || False || akshare = None","params.example (1).json; params.example (2).json; VDF_VRN_SourceFallback_AllDataRegistry_v0100.json; via_param_manager (1).py; vdf_pending_triflow_env_probe_result_v0203.json; vdf_pending_triflow_env_probe_v0203.py; vdf_production_fetch_controller_v016.py; vdf_production_fetch_result_v016.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","TW_TICKER_REGEX","9","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""(?<!\\d)([1-9]\\d{3})(?!\\d)"" || TW_TICKER_REGEX    = r""(?!202\d|2030)[1-9]\d{3}"" || TW_TICKER_REGEX = re.compile(r""^(?!202[1-9])(?!2030)[1-9]\d{3}$"") || TW_TICKER_REGEX     = r""(?!0)(?!202[1-9])(?!2030)([1-9]\d{3})"" || TW_TICKER_REGEX    = r""(?!0)(?!202[1-9])(?!2030)([1-9]\d{3})"" || TW_TICKER_REGEX    = re.compile(r""^(?!202[1-9])(?!2030)[1-9]\d{3}$"")","VRN_S05_FieldRegistry_v0101.json; VRN_ACTIVE_STAGE_POINTER_CANDIDATE_v029SSOT1B.json; vrn_unified_ssot_builder_v029ssot1b.py; vap_config.py; VRN_MDL263_vrn_unified_operation_db_ui_v0582__MODULE__v0582.py; VRN_MDL264_vrn_unified_operation_db_ui_v0582__MODULE__v0582.py; VDF_MDL001_TWUniverseVerify.py; VDF_MDL002_YFinanceFetchingEngine.py"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","RequiredFields","9","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""ticker,name,market"" || ""ticker,name"" || ""ticker,date,close,volume"" || ""ticker,yyyymm,revenue"" || ""ticker,period"" || ""ticker,date""","VDF_OutputDatabase_DataScope_Matrix.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","changed_units","9","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","0 || 57 || 70 || 91 || 82 || 113","VRN_MDL168_vrn_final_integration_resolver_v0567__MODULE__v0567.json; VRN_MDL169_vrn_final_integration_resolver_v0567__GOVERNANCE__v0567.json; VRN_MDL173_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json; VRN_MDL174_vrn_deep_semantic_conflict_resolver_v0563__MODULE__v0563.json; VRN_MDL175_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json; VRN_MDL176_vrn_semantic_isolation_seal_v0562__GOVERNANCE__v0562.json; VRN_MDL177_vrn_panoramic_triple_pass_repair_v0561__MODULE__v0561.json; VRN_MDL178_vrn_panoramic_triple_pass_repair_v0561__GOVERNANCE__v0561.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","unit_x","8","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","66 || 104 || 61 || 118 || 60 || 109","VRN_MDL031_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json; VRN_MDL032_vrn_canonical_english_system_seal_fix_v0569__GOVERNANCE__v0569.json; VRN_MDL164_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json; VRN_MDL165_vrn_data_trust_granular_calibration_v05692__MODULE__v05692.json; VRN_MDL166_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json; VRN_MDL167_vrn_duckdb_empty_safe_data_trust_calibration_v05691__MODULE__v05691.json; VRN_MDL168_vrn_final_integration_resolver_v0567__MODULE__v0567.json; VRN_MDL169_vrn_final_integration_resolver_v0567__GOVERNANCE__v0567.json"
"P0","P0_OWNER_DECISION_REQUIRED","VRN/VDF","SCHEMA_FIELD_CONTRACT","target_field","8","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""AI_PRJ"" || ""AI_PROC"" || ""AI_MAT"" || ""AI_ORG"" || ""AI_COST"" || ""AI_BGT""","regex_registry (1).json; regex_registry (2).json; regex_registry.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","DATA_SOURCE_CONTRACT","mixing_policy","8","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","""official_source_only_when_row.other_source == not_allowed"" || ""allowed_only_when_registry_row.source includes MOPS"" || ""not_allowed_for_tw_official_chip_margin_daytrade_rows"" || ""allowed_only_when fallback_allowed == true"" || ""allowed_only_for_macro/rates/long_series or fallback_allowed == true"" || ""not primary unless explicitly allowed by historical_validation_policy""","VDF_VRN_SourceFallback_AllDataRegistry_v0100.json"
"P0","P0_OWNER_DECISION_REQUIRED","VIA","GOVERNANCE_POLICY","calendar_policy","8","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","calendar_policy = ""NO_CALENDAR_ALIGNMENT"" || calendar_policy = ""TW_TRADING_DAY"" || calendar_policy = ""US_TRADING_DAY_SHIFTED_TO_TW_VIEW"" || calendar_policy = ""MACRO_CALENDAR_FORWARD_FILL"" || calendar_policy || r.get(""calendar_policy"", ""NO_CALENDAR_ALIGNMENT"")","vap_warehouse_v4_builder.py; vap_warehouse_v5_next3_builder.py; vap_warehouse_v5_next3_payload.json"
"P0","P0_OWNER_DECISION_REQUIRED","VIA","GOVERNANCE_POLICY","fill_policy","7","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","fill_policy = ""NO_FILL"" || fill_policy = ""FORWARD_FILL_ALLOWED_FOR_MACRO_ONLY"" || fill_policy = ""FORWARD_FILL_ALLOWED"" || fill_policy || r.get(""fill_policy"", ""NO_FILL"") || ""FORWARD_FILL_ALLOWED_FOR_MACRO_ONLY""","vap_warehouse_v4_builder.py; vap_warehouse_v5_next3_builder.py; vap_warehouse_v5_next3_payload.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","left_ticker","7","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","left || ""2330.TW"" || ""2317.TW"" || ""2454.TW"" || ""NVDA"" || ""SPY""","vap_warehouse_v6_all_builder.py; vap_warehouse_v6_payload.json; vap_warehouse_v7_quant_builder.py"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","DATA_SOURCE_CONTRACT","alignment_policy","7","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","alignment_policy = ""TW_TRADING_DATE"" || alignment_policy = ""US_TO_TAIPEI_SHIFT_PLUS_1"" || alignment_policy = ""SOURCE_AS_IS"" || alignment_policy || ""TW_TRADING_DATE"" || ""US_TO_TAIPEI_SHIFT_PLUS_1""","vap_warehouse_v5_next3_builder.py; vap_warehouse_v5_next3_payload.json; vap_warehouse_v6_all_builder.py; vap_warehouse_v6_payload.json"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","addFields","7","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","[{k:'code',ph:'2330'},{k:'name',ph:'台積電'},{k:'market',ph:'TWSE'},{k:'sector',ph:'半導體'}] || [{k:'ticker',ph:'^GSPC'},{k:'name',ph:'S&P 500'},{k:'group',ph:'INDICES_US'},{k:'asset_class',ph:'INDEX'}] || [{k:'via_code',ph:'US.Custom.Foo'},{k:'fred_id',ph:'FRED_ID'},{k:'indicator',ph:'指標名'},{k:'theme',ph:'Rates'},{k:'freq',ph:'D'}] || [{k:'code',ph:'cn_custom'},{k:'name',ph:'自訂'},{k:'theme',ph:'Futures'},{k:'sub_theme',ph:'?'},{k:'func',ph:'futures_main_sina'}] || [] || [{k:'ticker',ph:'2330 or NVDA'},{k:'name',ph:'名稱'},{k:'market',ph:'TWSE/TPEX/US'},{k:'role',ph:'用途'}]","VDF_MDL501_DataModuleController.html"
"P0","P0_OWNER_DECISION_REQUIRED","VDF","MARKET_TICKER_IDENTITY","right_ticker","7","Do not auto-fix. Choose one canonical owner/value before v0111.","HIGH_IF_AUTO_MERGED","false","right || ""2317.TW"" || ""2454.TW"" || ""NVDA"" || ""SPY"" || ""^TWII""","vap_warehouse_v6_all_builder.py; vap_warehouse_v6_payload.json; vap_warehouse_v7_quant_builder.py"
